MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,MFCC_41,MFCC_42,MFCC_43,MFCC_44,Pitch_mean,Pitch_std,Energy_mean,Energy_std,Spectral_Centroid_mean,Spectral_Centroid_std,Spectral_Bandwidth_Mean,Spectral_Rolloff_Mean,RMS_Energy_Mean,Chroma0,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,ZCR_mean,ZCR_std,Loudness,Mel_Spec_Mean,LPC_0,LPC_1,LPC_2,LPC_3,LPC_4,LPC_5,LPC_6,LPC_7,LPC_8,LPC_9,LPC_10,Emotion,Speaker_id
-461.1149,112.019135,-18.254726,30.989008,-8.022955,14.530048,-7.674868,8.910705,-7.7327857,9.042817,1.1981232,5.5703564,-0.2597571,2.3575895,0.66504544,1.7965302,-1.4184434,-2.8558695,-1.3574858,-3.236862,-1.1457925,-3.7226858,0.7415574,-0.14955655,2.554728,0.8797424,0.0955262,0.5823283,0.867251,0.58582616,1.0373408,0.6635377,-0.3917598,-2.017073,-0.76988935,2.0098264,0.9059281,-0.105997175,1.200858,2.2944574,-0.14955527,0.20938843,1.7894571,0.8000564,0.65844226,1147.261,872.63116,0.005833448,0.008084049,1472.9295506866804,338.48312791473325,1516.9825953706963,3248.8082627118642,0.005833448,0.59857684,0.59624815,0.604507,0.5001551,0.47984275,0.48296773,0.4795971,0.48101088,0.5910134,0.6816902,0.5110518,0.69454503,0.0961086467161017,0.030748271004429284,-23.726600482698885,0.024466492,1.0,-2.7991164,3.9853096,-4.3090296,4.27938,-4.0382676,3.4071023,-2.5205235,1.6983263,-0.9144415,0.25677362,Nervous,Ses04F_script03_1_M000
-353.95483,110.98495,-32.91745,44.376503,-28.212843,1.3778603,-18.75583,6.655478,-10.875289,8.713849,-11.492978,2.5350742,-9.7205105,-2.7329316,-7.362863,-0.5794341,-3.2806373,1.822948,0.566658,1.0465091,0.81830263,0.7740652,1.9783392,5.5369377,3.394115,0.29031125,4.20182,2.0728474,0.91357934,3.0209646,2.5220373,0.17007384,1.075808,-1.650798,-1.214247,-0.86914027,-2.5011656,-1.9653785,-0.4394422,-1.4363801,1.8881501,1.9097973,3.3809845,1.8311902,4.4600825,1354.4541,1017.9924,0.017013747,0.0116162,1584.7526676680127,613.508822121333,1411.087967307914,3118.8858695652175,0.017013747,0.48917037,0.44303435,0.44237643,0.38976553,0.33080694,0.33334103,0.3657601,0.31190136,0.3641346,0.36221883,0.34219635,0.39004102,0.10335640285326086,0.059389940415860404,-14.24166716106247,0.10603876,1.0,-2.22807,2.7527845,-3.0550554,3.183594,-3.0092754,2.5196176,-1.9013453,1.2722394,-0.68575656,0.25621364,Nervous,Ses04F_script03_1_F000
-307.39905,139.3538,-55.65565,35.70964,-24.282598,-8.041896,-15.103068,-7.1572776,-6.2348485,4.638667,-9.103475,-2.030567,-5.4195724,-7.318932,-11.000382,-2.2538862,-2.908842,1.7443221,-3.2331257,-1.6104263,-1.5827577,-1.0293926,4.9702353,-0.68182904,4.790474,0.6684334,3.370335,1.4513495,-0.047883064,5.127455,4.678569,0.6712355,1.1560156,-2.5136392,-2.3495796,-2.9430819,-5.567195,-2.9026754,-1.4146941,-1.0246066,0.4875931,1.4766287,2.2139056,3.391633,5.1139774,1182.0028,823.83606,0.025616394,0.01665685,1237.5359899068833,252.05987451227114,1148.14604160807,2418.7973484848485,0.025616394,0.43632632,0.54312825,0.4136305,0.37515637,0.2610627,0.2375833,0.2720618,0.34224924,0.46428338,0.4335356,0.3648615,0.39700538,0.08247514204545454,0.024023979919238696,-12.291455097774396,0.2414383,1.0,-2.8502543,4.3261676,-4.9812484,4.880449,-4.1980567,3.281164,-2.4356012,1.757024,-1.0406972,0.34887433,Nervous,Ses04F_script03_1_M001
-323.83505,105.73639,-38.89712,35.654343,-16.976439,5.9439206,-29.648062,-9.719378,-9.015412,-0.47111052,-4.4074183,-2.0629508,-3.1173775,-4.650494,-13.440065,-0.84500134,1.4910979,6.1500077,4.825276,1.5428891,-0.83228725,2.3287253,0.89148664,-0.81111836,8.307612,3.4072511,6.151058,0.91785604,-0.8095993,4.6335387,3.8832786,1.9269198,2.9808352,0.16478725,1.347838,1.1288892,1.0492476,-1.3302659,-2.09134,-0.27167797,-1.902281,-1.4518043,-0.7405947,-1.8129265,1.2811117,1171.4648,868.48926,0.0242133,0.01689339,1485.8519655149778,571.0497756958373,1306.9309254613322,2782.379518072289,0.0242133,0.40174568,0.33505985,0.3211132,0.3650736,0.26441878,0.34745502,0.3528995,0.32055628,0.32532737,0.2541735,0.278044,0.39678583,0.10476280120481928,0.057979950791310735,-14.504330691556474,0.21462475,1.0,-2.3242788,3.072887,-3.5797112,3.813991,-3.7081332,3.3396773,-2.7778504,2.0479102,-1.1844145,0.41244322,Nervous,Ses04F_script03_1_F001
-381.9039,112.5827,-28.641914,41.377426,-14.992129,13.524291,-15.060655,0.119447365,-9.428417,12.295828,-11.525604,8.757744,-7.173677,0.14092554,-4.433609,0.3949437,0.69823134,0.46906534,-4.738452,-1.39888,-2.7205126,0.5328423,-0.52410764,-3.1064804,0.69689393,-1.7292193,2.477549,-0.8836672,2.8410792,-0.39603707,4.34795,-0.0455004,-1.1726066,-0.2378503,0.37796596,-1.6578165,-0.8825885,-0.58674645,-0.28255996,-1.1933923,0.02296154,0.0072285878,0.92832947,-1.662029,0.013633911,1109.8643,844.6594,0.009875055,0.009371372,1587.9713614636385,489.76903440731854,1470.7838820824722,3178.9607558139537,0.009875055,0.476002,0.43088838,0.5076116,0.5122376,0.45178148,0.45683178,0.44151723,0.42683157,0.48992223,0.4141978,0.4628083,0.5381819,0.11684683866279069,0.04312981513189041,-17.822878928460817,0.045964565,1.0,-2.4913528,3.2978826,-3.4613085,3.3625507,-3.2179883,2.886278,-2.2367222,1.4613299,-0.7875298,0.27701524,Nervous,Ses04F_script03_1_M002
-409.4085,105.08892,-19.97357,20.826612,-9.688997,8.74227,-16.829304,-2.8030455,-8.651323,-0.85541075,0.3245404,-0.4832627,-0.91639775,5.664646,0.16424398,9.6527605,10.450329,4.757748,1.8024513,-3.1164932,-1.22454,1.4091702,-1.2319525,-3.3215563,2.826836,0.7039053,-2.2684646,-1.8895128,1.757994,3.7784863,2.5951066,3.153601,5.4120502,1.2218758,-0.4646324,1.741961,2.265549,-1.8026704,0.6556205,1.7159933,0.5397466,0.44314498,1.6871347,0.7684114,1.5222054,892.27563,712.5651,0.022002863,0.027152855,1313.983290808273,391.76485651047267,1348.8797094496147,2600.97947761194,0.022002863,0.47497702,0.39100885,0.49899942,0.4482814,0.3475131,0.4933913,0.5294045,0.49730194,0.5257697,0.49411267,0.33471173,0.42651674,0.08450180736940298,0.03116789100989481,-23.32924739053454,0.30129457,1.0,-3.0594957,4.9246244,-6.076863,6.478864,-6.00101,5.0342298,-3.9558547,2.6676831,-1.2999833,0.35009333,Neutral,Ses04F_script03_1_F002
-497.43484,140.76096,-16.45585,41.658283,-7.045522,7.846185,-6.505238,4.3182926,-8.105709,7.9617643,1.2105753,7.8281984,1.536361,4.117373,-0.40898514,-0.46963006,-0.38072053,-1.0950147,-4.2704797,-2.6118631,-1.4514698,-4.5352926,0.9872619,-2.8912592,3.527159,1.0379432,0.33410785,1.8410542,0.87094784,1.9911588,1.4055638,2.2560108,-0.006417966,-2.289519,1.5924698,1.014259,-0.85978806,-2.0603948,-0.6117705,1.9389513,-1.8856957,0.14929819,0.055735335,-0.6965031,0.327727,745.15765,678.347,0.0038586978,0.0031686649,1185.7955517822227,570.4989482694868,1305.0845093176808,2488.8671875,0.0038586978,0.57112217,0.47044143,0.48056343,0.37184337,0.34676287,0.45691407,0.42017823,0.37238738,0.49694556,0.5667993,0.4309284,0.606608,0.07784423828125,0.06744707995648136,-15.849522124495309,0.00641656,1.0,-2.1490784,2.3269875,-2.4859548,2.729523,-2.626336,2.0992136,-1.5371628,1.1999345,-0.7448572,0.23727767,Neutral,Ses04F_script03_1_M003
-443.28308,106.770775,-15.674707,41.26398,-16.081266,19.86759,-13.291322,3.6849663,-14.477111,5.5176244,-3.7646613,6.409334,-4.4235954,4.189844,-6.149711,2.5883577,-2.566327,0.84434605,-4.132355,-6.5398846,-7.6595693,-3.5893717,-5.569311,-3.2295034,1.6199429,0.23602481,3.5267997,7.148436,12.060949,14.196757,12.197538,9.214034,8.900518,0.44257027,1.4140321,-0.81516063,-0.867649,-0.9729144,-1.5110167,-0.70073146,-3.580645,-1.0316143,-1.2076467,-1.6432285,-1.473051,787.4811,710.8784,0.009532526,0.0070157093,1505.631586144758,659.974338761595,1533.8363047480477,3143.092105263158,0.009532526,0.3086863,0.225974,0.2457489,0.22733358,0.15171243,0.1998301,0.18397781,0.31684533,0.61034495,0.6046346,0.3660111,0.26503226,0.09147135416666667,0.06245891715452234,-12.467695108852414,0.035498325,1.0,-2.1556585,2.1527426,-1.919262,1.9023771,-1.8458633,1.7625062,-1.4954727,1.1112677,-0.6539696,0.19458398,Neutral,Ses04F_script03_1_F003
-435.87375,120.006454,-24.54084,46.357655,-5.625869,-1.8397003,-7.100257,-1.0484769,-5.7452536,10.270786,-2.3717613,7.950623,2.712005,2.6361542,-3.3451657,-1.6891817,-3.052505,-2.1311302,-4.09027,-3.388926,-0.9314294,-1.7776967,-0.7124224,-0.32543403,2.8815846,-0.58190465,1.08208,-1.0871007,2.362851,0.54483724,1.6168202,1.4157857,2.4623215,-1.2627672,1.3601625,-1.5466002,-2.9149373,-4.2598486,-0.7034174,2.0009732,-0.7449889,4.052964,0.25590125,-1.8023547,-2.7567813,1029.5139,876.5758,0.008971277,0.011017116,1373.9911166193178,346.09534632811653,1411.9727754386859,2989.7727272727275,0.008971277,0.5319028,0.49982604,0.4761755,0.49507403,0.30389103,0.25842777,0.32639572,0.3516837,0.5080279,0.59883547,0.3773959,0.43039194,0.08138316761363637,0.02573167719454348,-22.008372123911947,0.049753107,1.0,-2.9503367,4.300229,-4.136401,3.242918,-2.9869576,3.2738419,-2.9742413,1.9046521,-0.76927406,0.17533797,Neutral,Ses04F_script03_1_M004
-328.7498,97.67944,-40.11519,26.156448,-20.433031,8.5886345,-28.492516,-6.059148,-3.6797156,2.988311,-4.404878,2.606417,-6.936847,0.24016607,-8.730589,-7.574055,-0.3111316,1.460186,2.200029,4.7941117,6.4631033,1.834462,2.6573765,0.77401716,1.3724585,-2.074619,3.3620467,5.726674,7.2327304,8.47973,5.782353,2.2173197,1.6100801,-0.9181657,-0.9557485,1.7214805,1.2112708,-3.3665178,-1.6098604,-0.8830075,0.8935092,2.3625107,1.7375537,0.40557715,0.018574225,1154.6305,819.6886,0.030186778,0.02622428,1566.201439568222,361.3228825721176,1431.0706242358826,3196.4583333333335,0.030186778,0.39819962,0.39945436,0.48709497,0.5171732,0.37078702,0.34726384,0.27448788,0.29504994,0.40163916,0.45758814,0.3130922,0.32719308,0.10450520833333334,0.035366663920755666,-18.626909471439923,0.3864012,1.0,-2.700337,3.9368272,-4.4991846,4.5712595,-4.2748394,3.8751802,-3.1890974,2.1889882,-1.171403,0.38966557,Nervous,Ses04F_script03_1_F004
-426.19922,128.74825,-25.716383,22.24149,-15.366925,-1.3019649,7.1017823,-6.179549,-4.673644,9.889157,0.59791476,7.536532,-0.7538797,0.39706737,-0.8857281,-4.208512,-1.3436102,-1.6345756,-6.7631574,-0.45391577,-0.7691845,-3.1719685,0.42926267,-1.2038032,4.728264,-0.6770657,1.0109943,1.5022736,2.1008081,2.9523566,0.3436197,-0.2370699,-0.022696098,-0.92827713,2.331339,1.8917894,-1.3924446,-2.3343415,1.3443328,4.1924033,0.31566343,1.6823602,0.96741396,1.8215145,1.5441399,1039.063,809.144,0.014108167,0.018737318,1231.2160064614136,301.6415597565248,1270.0334935640956,2546.454326923077,0.014108167,0.6309112,0.5105563,0.5205681,0.49683833,0.43697262,0.38402826,0.35125098,0.36668712,0.44865644,0.5124885,0.3890763,0.5727801,0.08662484975961539,0.03799026522838513,-25.859192010473564,0.13738966,1.0,-3.0713801,4.9006724,-5.622205,5.4106736,-4.9792223,4.542991,-3.6467261,2.3230274,-1.052796,0.2726977,Angry,Ses04F_script03_1_M005
-352.6504,68.832466,-20.212467,16.935734,-22.049332,8.931537,-15.522003,-6.0321507,-2.0464232,5.8414736,-3.3550267,2.519384,-0.26416293,3.9162564,-1.5614103,6.941974,2.8994756,0.17337167,1.8835014,4.986901,2.0520008,0.43194595,-1.8666676,0.5701605,6.899512,-1.0159177,2.548689,2.140182,2.5333047,2.0200784,1.916932,1.0969403,-0.78049964,-1.1916947,0.05629981,1.6885227,0.021776853,-0.897166,0.59472716,-0.8298182,1.6893911,1.0888958,0.5855773,0.12517424,-0.4090696,1548.9954,1117.219,0.026471388,0.03381282,1758.1743842841913,578.8871328035902,1525.3979426728663,3507.1022727272725,0.026471388,0.46003115,0.32464173,0.36385646,0.46200454,0.40608466,0.4073687,0.45033568,0.37545073,0.35602775,0.44299614,0.42431545,0.40342617,0.14199765078671328,0.08513707447406925,-27.73490504070335,0.44660163,1.0,-2.153689,2.7436376,-3.112117,3.1806645,-2.9623933,2.6905303,-2.2347188,1.5615199,-0.86485904,0.3552533,Nervous,Ses04F_script03_1_F005
-421.5806,112.04316,-17.711933,36.50497,-16.693699,13.678688,-12.622216,6.9541397,-11.97527,12.579329,-7.012765,9.394996,-0.8768039,4.9801583,0.38434035,-0.28663683,-3.7111752,-0.3846117,-6.7655454,-2.0792146,-1.9168348,-1.7280236,-0.5826137,-1.2352327,3.358883,0.5947999,1.0907559,-0.27689677,0.91535765,0.60647446,1.8883183,0.4603062,0.40923604,-2.9685616,0.9745275,1.2748435,0.8052978,-1.1914665,0.8922369,0.09929077,0.16404578,1.4561696,-0.22797534,-1.035715,-0.316017,1247.3889,1008.8671,0.006606113,0.0067671635,1616.7062612081181,688.2671847121107,1509.4366267766643,3235.6279481132074,0.006606113,0.50426996,0.4675133,0.5233543,0.46482202,0.37439,0.4221226,0.38561878,0.38759887,0.59132224,0.58039606,0.52671504,0.64206654,0.13225051591981132,0.09492317143617632,-19.4639270776769,0.022596369,1.0,-1.8681737,1.9432907,-2.2209735,2.340549,-2.2288294,1.8713531,-1.3852594,1.110445,-0.7317213,0.25986645,Neutral,Ses04F_script03_1_M006
-375.73663,87.98346,-6.5798182,40.46388,-16.66349,-0.0067408085,-16.591389,5.656933,-15.612326,1.732163,-9.918041,0.43466085,-6.3469744,5.6573377,0.31247753,2.983524,3.62586,-2.3881016,-4.2086396,-2.4449115,0.28696766,2.542881,-2.963859,-4.3404636,2.3820667,-2.2055898,2.7606578,1.5882288,5.8964157,4.4775815,4.337268,1.6945924,0.39104512,-1.1425773,1.4491535,1.070157,0.19320087,1.0086623,1.3172469,1.9022135,-0.3599342,1.4881926,-0.04954025,-1.6418359,2.737711,1458.5344,1110.5587,0.015537565,0.015348773,1722.0321134334963,689.7024416770867,1599.7458727202225,3542.6025390625,0.015537565,0.39680105,0.3227764,0.3102559,0.3539653,0.31471905,0.36311692,0.29876947,0.3866246,0.5178826,0.47004223,0.3629443,0.42247266,0.13005828857421875,0.09501009194152092,-20.669546367021923,0.12183987,1.0,-2.1744847,2.71248,-2.902323,2.7359962,-2.6655939,2.3370903,-1.8152143,1.1682723,-0.41020685,0.11066896,Nervous,Ses04F_script03_1_F006
-335.94092,111.366066,-17.488846,37.25393,-16.97257,1.8030283,-27.046453,1.6482606,-18.886103,3.678891,-12.784354,5.8766384,-3.5494633,7.4285774,-6.8650885,-0.06503037,-2.4902406,-4.898638,-9.738388,-0.69436955,-1.4330819,0.25162435,-0.7156369,-2.0443735,2.1441917,-2.907908,0.25443944,0.5910799,2.8172495,-1.3054476,2.908028,-2.5472867,-1.057624,-0.7226729,0.17989229,-1.4442393,1.2308848,7.203713,7.068898,5.166722,2.2742934,1.3607544,0.5542802,0.38816342,3.4541266,1245.4226,1020.9226,0.020928772,0.016199006,1547.944395619063,805.3144701010909,1398.7646731453774,2938.068181818182,0.020928772,0.436537,0.3961818,0.32604176,0.34840536,0.3392358,0.2677142,0.2633609,0.21084888,0.2486131,0.2987437,0.34675214,0.48729658,0.13862748579545456,0.12933383857232061,-16.319812947981514,0.15280752,1.0,-2.3569598,2.954813,-3.1142514,3.269913,-3.145493,2.6478543,-2.1261697,1.4832782,-0.8491055,0.34896043,Neutral,Ses04F_script03_1_M007
-327.82312,101.38338,-27.148418,31.296438,-22.877665,10.145465,-35.549576,4.2352715,-13.274439,-0.57102597,-10.616074,2.1151981,-6.5144396,7.8267684,-6.7905655,1.8119366,-4.283976,-4.9853816,-7.4252305,0.8333867,-1.5781399,2.1381474,2.2279415,0.4124143,5.6043534,-0.31605703,5.6434255,9.586098,9.120142,7.5989294,6.443591,4.6946535,3.834732,1.0197817,3.2442222,0.56716764,0.1674557,-2.7635655,-4.2189226,-0.98382044,1.3364526,-0.66122466,1.1277565,0.30366263,-0.74815285,1311.5154,1048.75,0.022766443,0.015272772,1621.7865784824264,735.0651900004381,1439.783410789522,3056.15234375,0.022766443,0.29784897,0.26199153,0.35273376,0.24990836,0.16426452,0.19934118,0.20672247,0.2435349,0.3438899,0.43613777,0.3799695,0.34984526,0.136541748046875,0.11292508780639852,-15.17915623942998,0.16930255,1.0,-2.3267994,2.8725448,-2.9637558,2.9910655,-2.7365243,2.336517,-1.9165809,1.2833532,-0.6643105,0.25391746,Nervous,Ses04F_script03_1_F007
-394.9707,127.71081,-27.714237,46.16484,-11.593386,-4.028117,-12.194393,-3.603744,-6.5214057,6.4832354,-3.5976834,5.5177107,-2.5039196,3.2800956,-3.4703445,-5.8207426,-3.8443608,-3.2817683,-7.1601763,-2.0758398,-1.5149611,-2.3901126,4.039523,0.5935686,1.7900186,0.44600323,2.340938,1.160645,1.8907819,0.5968654,1.8998647,3.0586693,1.1324329,-0.16890873,3.0350618,1.9911051,1.8442667,-1.0797164,-2.498138,-0.3505338,-0.44158643,0.7281357,0.0025556684,1.0409275,0.36244106,1121.2319,924.25385,0.0122514805,0.010455961,1314.9071745655624,429.7765275562772,1303.9038234781858,2767.15087890625,0.0122514805,0.2991901,0.38318726,0.3750135,0.2310142,0.30608118,0.4325989,0.33881614,0.29463157,0.35671276,0.33990538,0.3950285,0.4015602,0.09191131591796875,0.04180678688487983,-17.03346285910106,0.065605514,1.0,-2.6161997,3.4324837,-3.4191048,3.122805,-2.8900824,2.5962343,-1.9306977,1.1616011,-0.55801094,0.17153433,Neutral,Ses04F_script03_1_M008
-425.51566,115.43755,-21.015963,37.313763,-23.236204,16.721,-18.867374,5.5612435,-6.369235,6.5058794,-2.3947997,3.2851117,-0.8768429,4.747316,-6.3063664,1.3278381,-1.8432565,-2.692425,-3.4385045,-3.4776313,-5.363364,-4.222998,-2.7371137,-1.4369226,3.3086433,2.8352137,8.376203,9.046927,10.684042,11.345797,6.061978,4.8697176,4.030446,-1.1385962,2.6329398,2.9251738,1.5285423,1.0436097,0.5608199,-0.6099811,-1.442836,0.34287536,-0.52759385,-0.6517251,-0.1118492,1136.9263,954.57947,0.008078684,0.006156684,1466.3985884249994,468.8133115651303,1462.931029950141,3059.922680412371,0.008078684,0.39998353,0.25424078,0.2512998,0.28960901,0.32594946,0.45589715,0.3788874,0.31461227,0.4631126,0.62494093,0.493247,0.41667604,0.0978173324742268,0.04877991345949624,-14.16233915888448,0.02627646,1.0,-2.1668367,2.4248428,-2.570144,2.6419456,-2.4810784,2.2247524,-1.7706583,1.1842031,-0.59290826,0.1716796,Neutral,Ses04F_script03_1_F008
-367.22696,101.804955,-18.724823,32.39349,-12.192178,-1.3489157,-13.131549,-4.2234483,-10.092495,6.478641,-6.077832,5.321044,0.5731974,6.288591,-4.3801346,1.0934293,0.34951594,-5.147782,-6.3481216,-0.6599321,-6.263289,-3.0439775,-0.59342957,-0.4116485,3.2456279,1.8486096,4.019398,2.320487,0.7689304,2.19659,1.144317,0.2637478,2.4620588,1.6394866,0.47406325,1.6020986,2.9202929,-0.68667954,1.9180378,0.76812875,-0.9797805,-0.09032967,-0.7097701,-0.95802504,0.22436105,1272.7126,1086.3646,0.017296376,0.020597834,1707.7061329896349,941.3640522568753,1415.6005664470044,3191.998106060606,0.017296376,0.4677939,0.3853113,0.4333925,0.40089753,0.36673602,0.4484067,0.39566776,0.30335626,0.40949082,0.4374939,0.35204107,0.5611751,0.15073094223484848,0.13173314380678067,-21.63574180374474,0.17321445,1.0,-1.9683211,1.7896669,-1.6562233,1.9197421,-1.8726346,1.722873,-1.4807984,1.1033736,-0.82326853,0.39568648,Angry,Ses04F_script03_1_M009
-316.82602,93.08244,-33.802113,23.731844,-25.153242,7.912255,-25.862753,-1.9146867,-11.89676,-1.815523,-10.784115,-6.076783,-8.655098,4.84188,-7.900607,12.624309,12.6896105,8.154789,8.045217,6.812962,-2.117,0.6296607,0.27315328,-0.2691589,5.414214,-1.0462583,2.3082728,-0.7343185,0.48817495,3.0743299,1.1681083,3.4265714,4.302068,-1.7084306,-2.831286,2.0576553,6.304231,-3.5405073,-4.5472274,1.217558,-0.3799533,-0.5172037,-0.7187995,-1.1794485,2.418175,1263.4668,1001.52924,0.03256338,0.021650676,1585.4346596221037,645.8645002698452,1399.5053347058663,2970.331101190476,0.03256338,0.21809894,0.20879452,0.26381895,0.2702632,0.26901546,0.3560739,0.35221657,0.35387638,0.33233362,0.2309622,0.23389594,0.30044326,0.12002418154761904,0.087073622285852,-13.448165673372982,0.37495512,1.0,-2.2587664,2.479251,-2.3252964,2.3213768,-2.1742806,2.0803666,-1.9097985,1.4172723,-0.78745985,0.2702844,Angry,Ses04F_script03_1_F009
