Frame# Time pitch roll yaw tra_x tra_y tra_z
R01 R02 R03 T01 T02 T03
1 0.00834 -10.91403 -0.91546 -2.10066 -39.41201 -32.50352 -40.00981
2 0.01668 -10.85539 -1.01545 -2.07572 -39.34842 -32.29678 -39.87998
3 0.02503 -10.81910 -1.11778 -2.07818 -39.24927 -32.07124 -39.75535
4 0.03337 -10.78113 -1.22061 -2.03627 -39.20968 -31.87542 -39.64649
5 0.04171 -10.69502 -1.31865 -1.99677 -39.14673 -31.67327 -39.42933
6 0.05005 -10.52167 -1.41785 -1.98837 -39.06354 -31.49944 -39.02494
7 0.05839 -10.38904 -1.51491 -1.95767 -38.99349 -31.31757 -38.69074
8 0.06673 -10.28580 -1.60721 -1.92409 -38.92080 -31.15307 -38.41462
9 0.07508 -10.17160 -1.69821 -1.86573 -38.89368 -31.03079 -38.13255
10 0.08342 -9.99011 -1.79007 -1.79449 -38.88146 -30.91590 -37.69682
11 0.09176 -9.83484 -1.87212 -1.78883 -38.77115 -30.82507 -37.30595
12 0.10010 -9.71115 -1.95238 -1.75422 -38.71306 -30.69879 -36.95545
13 0.10844 -9.53831 -2.03918 -1.71822 -38.65990 -30.65167 -36.55860
14 0.11678 -9.37120 -2.12580 -1.63255 -38.67202 -30.55789 -36.18583
15 0.12513 -9.20941 -2.19499 -1.59207 -38.62037 -30.43912 -35.81147
16 0.13347 -9.09893 -2.24745 -1.55324 -38.57384 -30.38934 -35.54530
17 0.14181 -9.00114 -2.29969 -1.48353 -38.55593 -30.27723 -35.28700
18 0.15015 -8.91032 -2.34345 -1.39084 -38.60473 -30.12286 -35.00569
19 0.15849 -8.82184 -2.39503 -1.30585 -38.64621 -30.02387 -34.75331
20 0.16683 -8.66935 -2.43209 -1.25478 -38.66971 -29.90747 -34.40922
21 0.17518 -8.60364 -2.46004 -1.19649 -38.68169 -29.85573 -34.23481
22 0.18352 -8.47140 -2.48791 -1.04917 -38.82146 -29.89724 -33.96595
23 0.19186 -8.38158 -2.51284 -0.92709 -38.92312 -29.84080 -33.72486
24 0.20020 -8.22435 -2.53395 -0.78472 -39.07924 -29.83079 -33.38877
25 0.20854 -8.11051 -2.55192 -0.70150 -39.16320 -29.81389 -33.15162
26 0.21688 -7.97424 -2.57258 -0.55185 -39.34653 -29.88266 -32.92246
27 0.22523 -7.91338 -2.59615 -0.43897 -39.47751 -29.92894 -32.82270
