Frame# Time pitch roll yaw tra_x tra_y tra_z
R01 R02 R03 T01 T02 T03
1 0.00834 14.15570 -4.61847 -19.92941 43.06752 -6.47601 25.13611
2 0.01668 14.15636 -4.66271 -19.91563 43.11676 -6.38259 25.12872
3 0.02503 14.16386 -4.71938 -19.86599 43.12786 -6.32299 25.11002
4 0.03337 14.14476 -4.74400 -19.85333 43.19441 -6.23410 25.10404
5 0.04171 14.13564 -4.79104 -19.80470 43.20502 -6.13470 25.09476
6 0.05005 14.12736 -4.81476 -19.81459 43.28153 -6.04601 25.10126
7 0.05839 14.17918 -4.82344 -19.85544 43.37013 -6.05969 25.13889
8 0.06673 14.17426 -4.84141 -19.85269 43.46103 -6.00381 25.12592
9 0.07508 14.16547 -4.86872 -19.83105 43.51388 -5.94021 25.10883
10 0.08342 14.14975 -4.88612 -19.82775 43.60319 -5.83991 25.10001
11 0.09176 14.09734 -4.89731 -19.83786 43.69953 -5.72414 25.05405
12 0.10010 14.09027 -4.92509 -19.84032 43.75597 -5.64152 25.06561
13 0.10844 14.08232 -4.95651 -19.84186 43.80561 -5.57328 25.05997
14 0.11678 14.11813 -4.97738 -19.87007 43.87793 -5.56762 25.08600
15 0.12513 14.09129 -4.99672 -19.88903 43.96901 -5.45994 25.07541
16 0.13347 14.12683 -5.01992 -19.87107 43.99218 -5.43181 25.09958
17 0.14181 14.12890 -5.04174 -19.86663 44.04901 -5.32029 25.14481
18 0.15015 14.19600 -5.03803 -19.91140 44.13481 -5.30619 25.26422
19 0.15849 14.27758 -5.04838 -19.94600 44.17827 -5.34835 25.34573
20 0.16683 14.30437 -5.06529 -19.96611 44.23004 -5.29811 25.41660
21 0.17518 14.32522 -5.05868 -20.00985 44.31507 -5.26935 25.48550
22 0.18352 14.29190 -5.05391 -20.02343 44.38705 -5.17555 25.51859
23 0.19186 14.26163 -5.05924 -20.02129 44.44127 -5.08094 25.54230
24 0.20020 14.24359 -5.05098 -20.00369 44.48755 -5.00699 25.56897
25 0.20854 14.24957 -5.05535 -19.99133 44.51896 -4.92174 25.62106
26 0.21688 14.24474 -5.03602 -19.99763 44.58379 -4.82136 25.68289
27 0.22523 14.22489 -5.02391 -19.98585 44.64137 -4.70976 25.71744
28 0.23357 14.22942 -4.99273 -19.99111 44.70444 -4.68425 25.73792
29 0.24191 14.22260 -4.97250 -19.98419 44.75024 -4.63277 25.73984
30 0.25025 14.25214 -4.94637 -19.97861 44.80159 -4.56147 25.81165
31 0.25859 14.26420 -4.94501 -19.94517 44.78208 -4.52352 25.79926
32 0.26693 14.25977 -4.93829 -19.94138 44.80843 -4.44773 25.81982
33 0.27528 14.26676 -4.92879 -19.93574 44.82576 -4.39152 25.82681
34 0.28362 14.27290 -4.90511 -19.95006 44.88997 -4.30248 25.87558
35 0.29196 14.23894 -4.93007 -19.88594 44.86609 -4.13481 25.90378
36 0.30030 14.21398 -4.94307 -19.84200 44.86104 -4.00408 25.92337
37 0.30864 14.20492 -4.96734 -19.78448 44.81267 -3.90275 25.95560
38 0.31698 14.21854 -4.96472 -19.76366 44.81614 -3.85590 25.97653
39 0.32533 14.23686 -4.96474 -19.72825 44.79209 -3.82632 25.99478
40 0.33367 14.27537 -4.93694 -19.74695 44.82459 -3.81867 26.05173
41 0.34201 14.29428 -4.90759 -19.76223 44.85692 -3.77849 26.08524
42 0.35035 14.28885 -4.88015 -19.76041 44.89373 -3.74605 26.08603
43 0.35869 14.30403 -4.86815 -19.73191 44.88676 -3.71292 26.09778
44 0.36703 14.29768 -4.84141 -19.73581 44.94784 -3.66155 26.10208
45 0.37538 14.32219 -4.83245 -19.68565 44.92747 -3.63665 26.12232
46 0.38372 14.33267 -4.79970 -19.69313 44.99458 -3.62851 26.12564
47 0.39206 14.32204 -4.78245 -19.66561 45.04757 -3.53174 26.16477
48 0.40040 14.28615 -4.73933 -19.67004 45.17005 -3.48393 26.12781
49 0.40874 14.29654 -4.72646 -19.61550 45.19047 -3.45699 26.14722
50 0.41708 14.31484 -4.69856 -19.62089 45.27348 -3.48205 26.12125
51 0.42543 14.29695 -4.70356 -19.57770 45.29816 -3.43082 26.05451
52 0.43377 14.27122 -4.68108 -19.61027 45.45112 -3.34458 26.04804
53 0.44211 14.22749 -4.68805 -19.59871 45.54577 -3.18495 26.03034
54 0.45045 14.23043 -4.70575 -19.56416 45.58868 -3.16319 25.95429
55 0.45879 14.22575 -4.71544 -19.56249 45.68607 -3.06482 25.97473
56 0.46713 14.30485 -4.70522 -19.59070 45.76836 -3.16642 25.98084
57 0.47548 14.38399 -4.68251 -19.64894 45.88498 -3.27256 25.97766
58 0.48382 14.31094 -4.64006 -19.75631 46.18053 -3.12270 25.95178
59 0.49216 14.37268 -4.63204 -19.79093 46.29738 -3.18259 25.94632
60 0.50050 14.30864 -4.63931 -19.80029 46.48788 -3.00452 25.93839
61 0.50884 14.33791 -4.64799 -19.79521 46.58211 -2.99768 25.95166
62 0.51718 14.34591 -4.62777 -19.87673 46.79220 -2.96551 25.95718
63 0.52553 14.35623 -4.59417 -19.95599 47.02085 -2.92494 25.98813
64 0.53387 14.37631 -4.52641 -20.10496 47.31674 -2.96553 25.99048
65 0.54221 14.39597 -4.49598 -20.16667 47.52637 -2.94528 26.02951
66 0.55055 14.36176 -4.46319 -20.23217 47.78447 -2.82802 26.03723
67 0.55889 14.38961 -4.43899 -20.29192 48.00903 -2.78602 26.09766
68 0.56723 14.38808 -4.40025 -20.36527 48.26339 -2.70294 26.12094
69 0.57558 14.43304 -4.36250 -20.41313 48.46550 -2.68203 26.19006
70 0.58392 14.46907 -4.31738 -20.48067 48.69327 -2.73033 26.16132
71 0.59226 14.47691 -4.25011 -20.59861 49.02372 -2.63052 26.25275
72 0.60060 14.46773 -4.20774 -20.67385 49.28048 -2.53231 26.27213
73 0.60894 14.49516 -4.17643 -20.73358 49.47779 -2.46430 26.34900
74 0.61728 14.52614 -4.15596 -20.78996 49.62801 -2.44349 26.37244
75 0.62563 14.57747 -4.11146 -20.90195 49.85476 -2.45498 26.43747
76 0.63397 14.61074 -4.07337 -20.96581 50.04799 -2.42762 26.47272
77 0.64231 14.62747 -4.01543 -21.06437 50.29089 -2.38175 26.53153
78 0.65065 14.65959 -3.98077 -21.08001 50.47301 -2.29541 26.59457
