Frame# Time pitch roll yaw tra_x tra_y tra_z
R01 R02 R03 T01 T02 T03
1 0.00834 -7.61151 0.61606 -4.16075 -31.11202 -34.42209 -17.43072
2 0.01668 -7.60409 0.62203 -4.18138 -31.08651 -34.44893 -17.41003
3 0.02503 -7.59482 0.61933 -4.20016 -31.07064 -34.41252 -17.37240
4 0.03337 -7.58183 0.62188 -4.20818 -31.04161 -34.34364 -17.31545
5 0.04171 -7.53329 0.62346 -4.20853 -31.03267 -34.29977 -17.20354
6 0.05005 -7.52216 0.62139 -4.17507 -31.06130 -34.23540 -17.14281
7 0.05839 -7.52815 0.62486 -4.19203 -31.02491 -34.20125 -17.11632
8 0.06673 -7.53160 0.62939 -4.21951 -30.96251 -34.14561 -17.09167
9 0.07508 -7.51450 0.63476 -4.22445 -30.93959 -34.16615 -17.05901
10 0.08342 -7.50980 0.63973 -4.22823 -30.90801 -34.11665 -17.03072
11 0.09176 -7.47193 0.63523 -4.23702 -30.88822 -34.13954 -16.96590
12 0.10010 -7.41757 0.63149 -4.21745 -30.89901 -34.12842 -16.85522
13 0.10844 -7.39803 0.62626 -4.22113 -30.90145 -34.15456 -16.82857
14 0.11678 -7.36870 0.62589 -4.21362 -30.90183 -34.10202 -16.74990
15 0.12513 -7.34998 0.62138 -4.19491 -30.93383 -34.08617 -16.69567
16 0.13347 -7.31679 0.61355 -4.18346 -30.95830 -34.07603 -16.61217
17 0.14181 -7.27739 0.60745 -4.16569 -30.98679 -34.09706 -16.53921
18 0.15015 -7.25530 0.60050 -4.17567 -30.96738 -34.07584 -16.48473
19 0.15849 -7.25166 0.59651 -4.16293 -30.98699 -34.04555 -16.45650
20 0.16683 -7.22850 0.58998 -4.14139 -31.01737 -34.04636 -16.39913
21 0.17518 -7.22250 0.58806 -4.13164 -31.03746 -34.02272 -16.36581
22 0.18352 -7.20124 0.58319 -4.12032 -31.05167 -34.00624 -16.30654
23 0.19186 -7.20109 0.58544 -4.11816 -31.05147 -33.97105 -16.27969
24 0.20020 -7.20249 0.58894 -4.12694 -31.01996 -33.95479 -16.27129
25 0.20854 -7.19964 0.58730 -4.10975 -31.04145 -33.97780 -16.27544
26 0.21688 -7.19946 0.58569 -4.11014 -31.02729 -33.93947 -16.26394
27 0.22523 -7.20326 0.58038 -4.09341 -31.04256 -33.91542 -16.25121
28 0.23357 -7.21024 0.56896 -4.11165 -31.01461 -33.85406 -16.24139
29 0.24191 -7.19279 0.57276 -4.09628 -31.02256 -33.83676 -16.20245
30 0.25025 -7.18759 0.56570 -4.08891 -31.01407 -33.78998 -16.17489
31 0.25859 -7.18099 0.55970 -4.08079 -31.01406 -33.79668 -16.16811
32 0.26693 -7.17943 0.55244 -4.06797 -31.01645 -33.79863 -16.16891
33 0.27528 -7.17484 0.54522 -4.06828 -31.00374 -33.81627 -16.17324
34 0.28362 -7.17351 0.54457 -4.07623 -30.96582 -33.77539 -16.16158
35 0.29196 -7.18872 0.53600 -4.06979 -30.94164 -33.71623 -16.16927
36 0.30030 -7.17173 0.52818 -4.06008 -30.93006 -33.66357 -16.12600
37 0.30864 -7.17058 0.51390 -4.08586 -30.88636 -33.65662 -16.13268
38 0.31698 -7.15289 0.50336 -4.07468 -30.87319 -33.62149 -16.11095
39 0.32533 -7.15814 0.49767 -4.10096 -30.81893 -33.60127 -16.12978
40 0.33367 -7.12331 0.49553 -4.08928 -30.79381 -33.63194 -16.09765
41 0.34201 -7.12279 0.48921 -4.08511 -30.77054 -33.60298 -16.09377
42 0.35035 -7.10983 0.49221 -4.10259 -30.70043 -33.58003 -16.07595
43 0.35869 -7.11010 0.49065 -4.09185 -30.67234 -33.51817 -16.05340
44 0.36703 -7.10883 0.49456 -4.07734 -30.65468 -33.49361 -16.06325
45 0.37538 -7.08969 0.49726 -4.06972 -30.63684 -33.47937 -16.02752
46 0.38372 -7.09625 0.49180 -4.06937 -30.60286 -33.45140 -16.03780
47 0.39206 -7.10965 0.49471 -4.08585 -30.52742 -33.37759 -16.04208
48 0.40040 -7.11840 0.48921 -4.10023 -30.46799 -33.33437 -16.05065
49 0.40874 -7.09013 0.48665 -4.09535 -30.41420 -33.30371 -16.00182
50 0.41708 -7.08624 0.48584 -4.10737 -30.34304 -33.25517 -15.98174
51 0.42543 -7.08992 0.48332 -4.11707 -30.27280 -33.17021 -15.97893
52 0.43377 -7.08268 0.47608 -4.11244 -30.23203 -33.09799 -15.96380
53 0.44211 -7.07596 0.47276 -4.10490 -30.18120 -32.96596 -15.91643
54 0.45045 -7.06479 0.46666 -4.09512 -30.12186 -32.88386 -15.88943
55 0.45879 -7.06536 0.44592 -4.05350 -30.09603 -32.82089 -15.89995
56 0.46713 -7.02942 0.42621 -4.07714 -29.98694 -32.79040 -15.86996
57 0.47548 -7.00721 0.40413 -4.08376 -29.91486 -32.69327 -15.82159
58 0.48382 -7.00966 0.38450 -4.07810 -29.84676 -32.60553 -15.83446
59 0.49216 -6.98927 0.35924 -4.06980 -29.80439 -32.48189 -15.78667
60 0.50050 -6.96862 0.34601 -4.05851 -29.75344 -32.40129 -15.77605
61 0.50884 -6.92149 0.33363 -4.06240 -29.68029 -32.31941 -15.70360
62 0.51718 -6.89763 0.32605 -4.10942 -29.55785 -32.26631 -15.69079
63 0.52553 -6.87111 0.31258 -4.11956 -29.46665 -32.11336 -15.62688
64 0.53387 -6.86606 0.30581 -4.11132 -29.39338 -31.98123 -15.61986
65 0.54221 -6.83124 0.29679 -4.09152 -29.33463 -31.90411 -15.56313
66 0.55055 -6.77130 0.29321 -4.08048 -29.25508 -31.86226 -15.49880
67 0.55889 -6.71538 0.28402 -4.05539 -29.22162 -31.83746 -15.44674
68 0.56723 -6.69863 0.26663 -4.09594 -29.10266 -31.75827 -15.44445
69 0.57558 -6.65647 0.24356 -4.12776 -29.00055 -31.74345 -15.41613
70 0.58392 -6.62232 0.22847 -4.12355 -28.93732 -31.67985 -15.40688
71 0.59226 -6.58930 0.21491 -4.08985 -28.92105 -31.60004 -15.39672
72 0.60060 -6.52874 0.20891 -4.05063 -28.90331 -31.59660 -15.39770
73 0.60894 -6.49087 0.20201 -4.03992 -28.84702 -31.52989 -15.40722
74 0.61728 -6.47675 0.18808 -4.06530 -28.74500 -31.47891 -15.48022
75 0.62563 -6.47174 0.17687 -4.05581 -28.67302 -31.38011 -15.57473
76 0.63397 -6.44603 0.16764 -4.04335 -28.58951 -31.31258 -15.64483
77 0.64231 -6.43908 0.15365 -4.03073 -28.50141 -31.31276 -15.78313
78 0.65065 -6.40312 0.14249 -4.02874 -28.39365 -31.35883 -15.85952
79 0.65899 -6.34734 0.11520 -3.97996 -28.35039 -31.45970 -15.92483
80 0.66733 -6.34952 0.08725 -3.96677 -28.26180 -31.51956 -16.05065
81 0.67568 -6.31590 0.05369 -3.98326 -28.12357 -31.63962 -16.13741
