Frame# Time pitch roll yaw tra_x tra_y tra_z
R01 R02 R03 T01 T02 T03
1 0.00834 -6.94591 1.09614 -3.41601 -11.98097 -45.25045 -38.18663
2 0.01668 -6.93420 1.08794 -3.41205 -11.95913 -45.19236 -38.14686
3 0.02503 -6.90349 1.08897 -3.39014 -11.96130 -45.14958 -38.07024
4 0.03337 -6.92234 1.08533 -3.41060 -11.90460 -45.04504 -38.05150
5 0.04171 -6.93975 1.08503 -3.39602 -11.90805 -45.02095 -38.08247
6 0.05005 -6.89946 1.08604 -3.38418 -11.88534 -45.01454 -38.00609
7 0.05839 -6.85989 1.08655 -3.37355 -11.88618 -45.02565 -37.93892
8 0.06673 -6.83427 1.08880 -3.40533 -11.83552 -45.02609 -37.89033
9 0.07508 -6.82575 1.08876 -3.41011 -11.82638 -44.99122 -37.85405
10 0.08342 -6.82103 1.08599 -3.39325 -11.84944 -44.93979 -37.82075
11 0.09176 -6.82811 1.09429 -3.39451 -11.85386 -44.90358 -37.83275
12 0.10010 -6.80978 1.10355 -3.38397 -11.86634 -44.91163 -37.81929
13 0.10844 -6.79840 1.10548 -3.39106 -11.87414 -44.90455 -37.81248
14 0.11678 -6.79368 1.10938 -3.39262 -11.86976 -44.87945 -37.79909
15 0.12513 -6.77676 1.10950 -3.38994 -11.89241 -44.85301 -37.76204
16 0.13347 -6.77050 1.10465 -3.37540 -11.93644 -44.82051 -37.74061
17 0.14181 -6.77150 1.09882 -3.36973 -11.98234 -44.79022 -37.73277
18 0.15015 -6.76401 1.10233 -3.39502 -11.96191 -44.78373 -37.73460
19 0.15849 -6.77302 1.10725 -3.39904 -11.97050 -44.72569 -37.73857
20 0.16683 -6.75799 1.11383 -3.37853 -12.00080 -44.71659 -37.72938
21 0.17518 -6.74870 1.11519 -3.36692 -12.02850 -44.67936 -37.72426
22 0.18352 -6.72762 1.11792 -3.35345 -12.06239 -44.63566 -37.67973
23 0.19186 -6.73325 1.11888 -3.35850 -12.06662 -44.56498 -37.67122
24 0.20020 -6.72450 1.11548 -3.36441 -12.08221 -44.53932 -37.65462
25 0.20854 -6.71513 1.11757 -3.35389 -12.10908 -44.52278 -37.64360
26 0.21688 -6.70560 1.11947 -3.36826 -12.11540 -44.53988 -37.64558
27 0.22523 -6.70290 1.12148 -3.36916 -12.12623 -44.52000 -37.65315
28 0.23357 -6.68898 1.11786 -3.37196 -12.13540 -44.52314 -37.64720
29 0.24191 -6.69568 1.12337 -3.38624 -12.13226 -44.48036 -37.65767
30 0.25025 -6.68696 1.12736 -3.38703 -12.14305 -44.49455 -37.65864
31 0.25859 -6.69175 1.13663 -3.39020 -12.13394 -44.46547 -37.65297
32 0.26693 -6.69800 1.14534 -3.38551 -12.14256 -44.44046 -37.64958
33 0.27528 -6.69291 1.15033 -3.37296 -12.16275 -44.40344 -37.61586
34 0.28362 -6.70856 1.14769 -3.38392 -12.15239 -44.36894 -37.62382
35 0.29196 -6.71195 1.15019 -3.39641 -12.14003 -44.35069 -37.61345
