Frame# Time pitch roll yaw tra_x tra_y tra_z
R01 R02 R03 T01 T02 T03
1 0.00834 -18.35957 -9.23515 -3.79037 -47.46996 -21.85883 -50.02187
2 0.01668 -18.39752 -9.25672 -3.79289 -47.40493 -21.87889 -50.06829
3 0.02503 -18.40911 -9.27914 -3.79144 -47.34260 -21.93086 -50.08086
4 0.03337 -18.44539 -9.29295 -3.78731 -47.29130 -22.07116 -50.16024
5 0.04171 -18.44360 -9.31061 -3.83902 -47.18265 -22.08847 -50.15154
6 0.05005 -18.43414 -9.32417 -3.85300 -47.12168 -22.11068 -50.12425
7 0.05839 -18.46869 -9.35364 -3.89183 -47.03109 -22.13591 -50.19191
8 0.06673 -18.50280 -9.37883 -3.91550 -46.95794 -22.20950 -50.26860
9 0.07508 -18.56031 -9.39593 -3.91642 -46.88065 -22.45529 -50.39684
10 0.08342 -18.58076 -9.40431 -3.90568 -46.83875 -22.51860 -50.43807
11 0.09176 -18.64082 -9.41409 -3.89848 -46.78278 -22.56649 -50.53643
12 0.10010 -18.65066 -9.42173 -3.88591 -46.76549 -22.61801 -50.54564
13 0.10844 -18.66687 -9.43620 -3.94224 -46.64109 -22.73137 -50.57134
14 0.11678 -18.66872 -9.44380 -3.96724 -46.59646 -22.75360 -50.55327
15 0.12513 -18.71245 -9.44717 -3.97149 -46.54777 -22.86565 -50.64363
16 0.13347 -18.71363 -9.45155 -3.97690 -46.52996 -22.94509 -50.65630
17 0.14181 -18.74421 -9.45798 -4.00037 -46.47118 -23.02979 -50.70726
18 0.15015 -18.75883 -9.46379 -4.01590 -46.43957 -23.08446 -50.72374
19 0.15849 -18.79271 -9.45951 -4.03707 -46.40214 -23.13085 -50.77407
20 0.16683 -18.81485 -9.45607 -4.01487 -46.42408 -23.15515 -50.79714
21 0.17518 -18.82799 -9.44341 -3.98953 -46.46311 -23.17098 -50.81594
22 0.18352 -18.83476 -9.43537 -3.97801 -46.49114 -23.20926 -50.83074
23 0.19186 -18.84665 -9.43496 -3.98055 -46.49079 -23.22135 -50.86122
24 0.20020 -18.84672 -9.42694 -3.96424 -46.52714 -23.24383 -50.87447
25 0.20854 -18.86120 -9.43021 -3.96753 -46.52680 -23.25881 -50.91176
26 0.21688 -18.91377 -9.43274 -3.93830 -46.58004 -23.19646 -51.00347
27 0.22523 -18.93028 -9.42771 -3.90411 -46.63167 -23.20532 -51.03517
28 0.23357 -18.93776 -9.42881 -3.92394 -46.62188 -23.17608 -51.04674
29 0.24191 -18.94782 -9.42967 -3.90965 -46.65244 -23.23868 -51.08834
30 0.25025 -19.00744 -9.41961 -3.89602 -46.65574 -23.24366 -51.21053
31 0.25859 -19.00166 -9.42113 -3.90385 -46.66523 -23.25013 -51.23293
32 0.26693 -19.00096 -9.40946 -3.89607 -46.69448 -23.27005 -51.24468
33 0.27528 -18.98544 -9.40798 -3.88409 -46.73063 -23.27579 -51.23027
34 0.28362 -18.98741 -9.40931 -3.90540 -46.72681 -23.29526 -51.23525
35 0.29196 -18.98245 -9.40716 -3.90413 -46.76186 -23.29123 -51.22087
36 0.30030 -18.99684 -9.39941 -3.90574 -46.77839 -23.30043 -51.23241
37 0.30864 -18.99482 -9.39347 -3.88799 -46.81898 -23.28602 -51.22188
38 0.31698 -19.00501 -9.38902 -3.88455 -46.83042 -23.27686 -51.22219
39 0.32533 -19.00269 -9.38765 -3.87602 -46.85618 -23.27062 -51.21981
40 0.33367 -19.00624 -9.38569 -3.86068 -46.89210 -23.26923 -51.22420
41 0.34201 -18.99251 -9.38460 -3.86028 -46.91318 -23.27507 -51.20095
42 0.35035 -18.94426 -9.38605 -3.85082 -46.97945 -23.21621 -51.10222
43 0.35869 -18.94693 -9.39671 -3.87896 -46.98076 -23.25181 -51.11580
44 0.36703 -18.92728 -9.39433 -3.85133 -47.05199 -23.18553 -51.07695
45 0.37538 -18.92775 -9.39183 -3.85192 -47.07645 -23.23556 -51.09246
46 0.38372 -18.90063 -9.38259 -3.83484 -47.13369 -23.18515 -51.04412
47 0.39206 -18.89746 -9.37594 -3.78809 -47.22774 -23.20651 -51.04906
48 0.40040 -18.89194 -9.36810 -3.78297 -47.27541 -23.14865 -51.04109
49 0.40874 -18.88718 -9.36432 -3.78755 -47.30688 -23.10684 -51.02480
50 0.41708 -18.88936 -9.36080 -3.78435 -47.33831 -23.08821 -51.01857
51 0.42543 -18.89372 -9.35785 -3.77899 -47.37031 -23.09836 -51.03392
52 0.43377 -18.88952 -9.35619 -3.78131 -47.38512 -23.10932 -51.03575
53 0.44211 -18.86436 -9.34431 -3.76786 -47.43043 -23.13554 -50.99321
54 0.45045 -18.85291 -9.33281 -3.77747 -47.45966 -23.12619 -50.97872
55 0.45879 -18.84168 -9.32158 -3.77879 -47.47982 -23.10402 -50.96599
56 0.46713 -18.83425 -9.30641 -3.78434 -47.48057 -23.06520 -50.95342
57 0.47548 -18.84392 -9.29641 -3.78389 -47.49319 -23.06224 -50.96495
58 0.48382 -18.84777 -9.28522 -3.77661 -47.50115 -23.04999 -50.96440
59 0.49216 -18.86031 -9.28660 -3.77362 -47.50913 -23.06189 -50.97701
60 0.50050 -18.85994 -9.28963 -3.78552 -47.49404 -23.04564 -50.97008
61 0.50884 -18.86061 -9.29873 -3.79875 -47.47703 -23.02520 -50.95119
62 0.51718 -18.84993 -9.30221 -3.79267 -47.48356 -22.99295 -50.91551
63 0.52553 -18.86364 -9.30367 -3.80147 -47.46792 -22.97689 -50.93032
64 0.53387 -18.85036 -9.30686 -3.81591 -47.44567 -22.97794 -50.89488
65 0.54221 -18.84154 -9.30446 -3.80966 -47.44623 -22.92369 -50.86351
66 0.55055 -18.85260 -9.31235 -3.84219 -47.38676 -22.89717 -50.89009
67 0.55889 -18.83830 -9.31330 -3.84080 -47.38012 -22.82666 -50.85204
68 0.56723 -18.84776 -9.31382 -3.83136 -47.37601 -22.86969 -50.87779
69 0.57558 -18.82557 -9.31241 -3.81604 -47.38328 -22.84219 -50.83501
70 0.58392 -18.85207 -9.30241 -3.81705 -47.34151 -22.84283 -50.87056
71 0.59226 -18.82336 -9.30615 -3.81765 -47.33195 -22.82693 -50.82201
72 0.60060 -18.84450 -9.30805 -3.80930 -47.31298 -22.79081 -50.85802
73 0.60894 -18.82602 -9.30884 -3.79781 -47.30645 -22.76569 -50.80068
74 0.61728 -18.81005 -9.32462 -3.82605 -47.24811 -22.78816 -50.78209
75 0.62563 -18.80986 -9.32227 -3.82234 -47.22333 -22.79689 -50.76549
76 0.63397 -18.80971 -9.32722 -3.83373 -47.18009 -22.81405 -50.75917
77 0.64231 -18.81915 -9.33118 -3.83278 -47.15768 -22.80246 -50.76766
78 0.65065 -18.80980 -9.33548 -3.82359 -47.15107 -22.79539 -50.74556
79 0.65899 -18.82104 -9.34493 -3.81296 -47.15142 -22.77391 -50.78194
80 0.66733 -18.80188 -9.34968 -3.81525 -47.11104 -22.80493 -50.74150
81 0.67568 -18.80252 -9.35711 -3.81899 -47.07087 -22.75646 -50.74428
82 0.68402 -18.79529 -9.36427 -3.83534 -47.01627 -22.73913 -50.72490
83 0.69236 -18.78125 -9.36837 -3.85981 -46.95675 -22.69072 -50.70473
84 0.70070 -18.79690 -9.37346 -3.87357 -46.90694 -22.67530 -50.71685
85 0.70904 -18.78609 -9.37901 -3.85910 -46.91439 -22.65683 -50.69808
86 0.71738 -18.79291 -9.38139 -3.85432 -46.90124 -22.66557 -50.69902
87 0.72573 -18.78069 -9.39120 -3.88409 -46.84807 -22.71552 -50.68917
88 0.73407 -18.76279 -9.39891 -3.90014 -46.82918 -22.70390 -50.65053
89 0.74241 -18.77382 -9.40259 -3.93186 -46.76250 -22.66483 -50.66631
90 0.75075 -18.75135 -9.40354 -3.92570 -46.77375 -22.61525 -50.61196
91 0.75909 -18.74395 -9.40028 -3.93653 -46.76134 -22.61722 -50.60454
92 0.76743 -18.72674 -9.39845 -3.92610 -46.77990 -22.55164 -50.55547
93 0.77578 -18.74565 -9.39051 -3.92938 -46.75902 -22.58121 -50.60066
94 0.78412 -18.74121 -9.38933 -3.92712 -46.76589 -22.56308 -50.57857
95 0.79246 -18.74690 -9.38535 -3.93658 -46.74854 -22.51361 -50.57985
96 0.80080 -18.72474 -9.38257 -3.93692 -46.75271 -22.48278 -50.53734
97 0.80914 -18.72821 -9.37937 -3.94434 -46.73835 -22.50733 -50.55974
98 0.81748 -18.71483 -9.37718 -3.93057 -46.75449 -22.47925 -50.52852
99 0.82583 -18.74463 -9.37369 -3.93447 -46.73781 -22.50708 -50.58104
100 0.83417 -18.70690 -9.37645 -3.94610 -46.74023 -22.47541 -50.50350
101 0.84251 -18.73355 -9.37090 -3.93479 -46.74839 -22.45848 -50.54006
102 0.85085 -18.70117 -9.37311 -3.96420 -46.73659 -22.46596 -50.47740
103 0.85919 -18.72066 -9.37462 -3.96062 -46.73371 -22.44303 -50.50682
104 0.86753 -18.69212 -9.37326 -3.95325 -46.76295 -22.42870 -50.44756
105 0.87588 -18.70797 -9.37125 -3.94646 -46.76276 -22.38806 -50.47597
106 0.88422 -18.69282 -9.36842 -3.93260 -46.78702 -22.38740 -50.45555
107 0.89256 -18.67431 -9.37149 -3.95677 -46.77083 -22.35860 -50.42583
108 0.90090 -18.65962 -9.37395 -3.94354 -46.80724 -22.35500 -50.39583
109 0.90924 -18.66987 -9.37643 -3.94971 -46.79981 -22.32513 -50.41219
110 0.91758 -18.67729 -9.38061 -3.94784 -46.81661 -22.36550 -50.42977
111 0.92593 -18.69193 -9.37772 -3.93432 -46.84371 -22.33364 -50.43999
112 0.93427 -18.64518 -9.37984 -3.94153 -46.87539 -22.29992 -50.34908
113 0.94261 -18.64672 -9.38033 -3.93666 -46.89081 -22.29911 -50.35146
114 0.95095 -18.65627 -9.37307 -3.93619 -46.91430 -22.32078 -50.36968
115 0.95929 -18.65094 -9.36282 -3.88927 -46.99732 -22.34144 -50.37035
116 0.96763 -18.64419 -9.36225 -3.91222 -46.98730 -22.28079 -50.35332
