Frame# Time pitch roll yaw tra_x tra_y tra_z
R01 R02 R03 T01 T02 T03
1 0.00834 -5.30369 1.85287 -2.56216 -19.11199 -56.83625 -30.59640
2 0.01668 -5.30824 1.85717 -2.54466 -19.13878 -56.81762 -30.58669
3 0.02503 -5.31457 1.85309 -2.53416 -19.15319 -56.83964 -30.61410
4 0.03337 -5.30690 1.85634 -2.53367 -19.15897 -56.84539 -30.60656
5 0.04171 -5.31879 1.85435 -2.51755 -19.19133 -56.82621 -30.62514
6 0.05005 -5.31146 1.85476 -2.51497 -19.20108 -56.82810 -30.61593
7 0.05839 -5.31646 1.85538 -2.53370 -19.18146 -56.82310 -30.61703
8 0.06673 -5.30721 1.85723 -2.54834 -19.16187 -56.82894 -30.59566
9 0.07508 -5.31303 1.84995 -2.53763 -19.17951 -56.81977 -30.60940
10 0.08342 -5.30772 1.85060 -2.52824 -19.19452 -56.83864 -30.60760
11 0.09176 -5.32469 1.84326 -2.50755 -19.21491 -56.83198 -30.64022
12 0.10010 -5.32234 1.84286 -2.52323 -19.20826 -56.86112 -30.64764
13 0.10844 -5.32838 1.84367 -2.52913 -19.19620 -56.83202 -30.64983
14 0.11678 -5.32962 1.84603 -2.52830 -19.20047 -56.84972 -30.65951
15 0.12513 -5.32535 1.84582 -2.53375 -19.19552 -56.84714 -30.64944
16 0.13347 -5.32954 1.84949 -2.54151 -19.18334 -56.86999 -30.67504
17 0.14181 -5.34870 1.84812 -2.53053 -19.19719 -56.83915 -30.69671
18 0.15015 -5.32589 1.84793 -2.52516 -19.20801 -56.82976 -30.63454
19 0.15849 -5.31770 1.85207 -2.53904 -19.18024 -56.86092 -30.62109
20 0.16683 -5.30983 1.85195 -2.55167 -19.16478 -56.85784 -30.60433
21 0.17518 -5.32760 1.84185 -2.53058 -19.19462 -56.83256 -30.62453
22 0.18352 -5.32376 1.84588 -2.54579 -19.17675 -56.84063 -30.61855
23 0.19186 -5.31334 1.84245 -2.55089 -19.15998 -56.88439 -30.60754
24 0.20020 -5.31656 1.84298 -2.55491 -19.15926 -56.88157 -30.60805
25 0.20854 -5.31438 1.84984 -2.55848 -19.13245 -56.90160 -30.60290
26 0.21688 -5.31164 1.85470 -2.57289 -19.10296 -56.89263 -30.58861
27 0.22523 -5.31906 1.85381 -2.56697 -19.09229 -56.87414 -30.60714
28 0.23357 -5.32306 1.85506 -2.57528 -19.07294 -56.85795 -30.61086
29 0.24191 -5.32106 1.84882 -2.57184 -19.06777 -56.86007 -30.61294
30 0.25025 -5.31362 1.83633 -2.57634 -19.07193 -56.83355 -30.59508
31 0.25859 -5.31863 1.82560 -2.58428 -19.04183 -56.85174 -30.62115
32 0.26693 -5.31639 1.81766 -2.61092 -18.99872 -56.84504 -30.61712
33 0.27528 -5.31007 1.80727 -2.60890 -19.00461 -56.85401 -30.62286
34 0.28362 -5.30061 1.80484 -2.59755 -19.01479 -56.83559 -30.60915
35 0.29196 -5.30109 1.80518 -2.60452 -18.99204 -56.83835 -30.63064
36 0.30030 -5.30115 1.81094 -2.59449 -18.99886 -56.79403 -30.61758
37 0.30864 -5.28917 1.81368 -2.60100 -18.99242 -56.79920 -30.60290
38 0.31698 -5.27852 1.81985 -2.58222 -19.01253 -56.79874 -30.58266
39 0.32533 -5.26907 1.82106 -2.59461 -19.00724 -56.81800 -30.57766
40 0.33367 -5.26751 1.82243 -2.59164 -19.01296 -56.82108 -30.57903
41 0.34201 -5.25709 1.81973 -2.60504 -18.99439 -56.84699 -30.56237
42 0.35035 -5.26265 1.82651 -2.59483 -19.00165 -56.84582 -30.57622
43 0.35869 -5.26205 1.82196 -2.56895 -19.03917 -56.83883 -30.56972
44 0.36703 -5.26726 1.82563 -2.55810 -19.05765 -56.81141 -30.56130
45 0.37538 -5.27567 1.81996 -2.54905 -19.08353 -56.79748 -30.55852
46 0.38372 -5.26539 1.82362 -2.54735 -19.09061 -56.75144 -30.50643
47 0.39206 -5.28637 1.82652 -2.54189 -19.10262 -56.74566 -30.54018
48 0.40040 -5.27283 1.83489 -2.54354 -19.10755 -56.74273 -30.50011
49 0.40874 -5.27678 1.83903 -2.53258 -19.12180 -56.77672 -30.51815
50 0.41708 -5.27561 1.84454 -2.52232 -19.14429 -56.77968 -30.51256
51 0.42543 -5.29484 1.85038 -2.50063 -19.18924 -56.81191 -30.55938
52 0.43377 -5.29458 1.85851 -2.50346 -19.19729 -56.78390 -30.55025
53 0.44211 -5.30282 1.86326 -2.49497 -19.20737 -56.80764 -30.57375
54 0.45045 -5.30169 1.86440 -2.47709 -19.23526 -56.79586 -30.57250
55 0.45879 -5.31832 1.86046 -2.47355 -19.24241 -56.80948 -30.62307
56 0.46713 -5.31791 1.86014 -2.47593 -19.24564 -56.83442 -30.63180
57 0.47548 -5.32862 1.86114 -2.48140 -19.24851 -56.87490 -30.66531
58 0.48382 -5.34155 1.86122 -2.46951 -19.27500 -56.88843 -30.69955
59 0.49216 -5.35313 1.86060 -2.46060 -19.29508 -56.88544 -30.71615
60 0.50050 -5.35351 1.86645 -2.46516 -19.28373 -56.90931 -30.71276
61 0.50884 -5.35764 1.87303 -2.45891 -19.28650 -56.95061 -30.74007
62 0.51718 -5.36888 1.87861 -2.45221 -19.29384 -56.95383 -30.75655
63 0.52553 -5.38054 1.87675 -2.47238 -19.28016 -56.97091 -30.76958
64 0.53387 -5.39243 1.87639 -2.45297 -19.30811 -56.94262 -30.76543
65 0.54221 -5.40543 1.87187 -2.46683 -19.29128 -56.95598 -30.78643
66 0.55055 -5.42930 1.86955 -2.47596 -19.28228 -56.94730 -30.82787
67 0.55889 -5.43774 1.85965 -2.48667 -19.25945 -56.98601 -30.86919
68 0.56723 -5.43871 1.85236 -2.50137 -19.25011 -56.98315 -30.87099
69 0.57558 -5.44080 1.84534 -2.50426 -19.25316 -57.01636 -30.88833
70 0.58392 -5.44708 1.85029 -2.49838 -19.25721 -56.99335 -30.88607
71 0.59226 -5.44192 1.85371 -2.49739 -19.26214 -57.02642 -30.89233
72 0.60060 -5.43126 1.86148 -2.51512 -19.24993 -57.02787 -30.88317
73 0.60894 -5.42696 1.86377 -2.49521 -19.28423 -57.01238 -30.87160
74 0.61728 -5.41705 1.86720 -2.45993 -19.33477 -56.95681 -30.83605
75 0.62563 -5.41501 1.87112 -2.45828 -19.33732 -56.96902 -30.83044
76 0.63397 -5.39220 1.87816 -2.45693 -19.34339 -56.96934 -30.77782
77 0.64231 -5.37887 1.88549 -2.47930 -19.32256 -56.99619 -30.76330
78 0.65065 -5.36374 1.88725 -2.46441 -19.36272 -57.01478 -30.74557
79 0.65899 -5.38029 1.88689 -2.45624 -19.38521 -57.00471 -30.76919
