Transcript,valence,arousal,dominance,emotion,original_emotion,Audio_Uttrance_Path
Good God.,3.0,3.0,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M000.wav
Do you think it's them?,2.0,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F000.wav
I wonder.,3.0,3.0,3.5,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M001.wav
Nobody knows we're here except Freda and she wouldn't ring up.,2.5,4.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F001.wav
It must be them then.,2.5,3.0,3.5,Sad,Fear,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M002.wav
Well what are we going to do?,2.5,3.5,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F002.wav
"We'll be alright, darling.  Whatever happens, aren't we?",3.0,2.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M003.wav
Now and always sweet.,4.0,2.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F003.wav
I don't care then.,3.5,2.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M004.wav
It was bound to come sooner or later.,4.0,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F004.wav
Hello.  Hello.  What?  Wrong number.,3.0,3.0,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M005.wav
Ahh.  It sent shivers up my spine.,4.0,4.0,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F005.wav
What shall we do if they suddenly walk in on us?,2.0,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M006.wav
