utterance_id,text,emotion,valence,arousal,dominance
Ses01M_impro02_F000,: What's happening?,neutral,0.0,-0.25,-0.25
Ses01M_impro02_F003,: How...,angry,-0.5,0.0,0.25
Ses01M_impro02_F004,: How can they do that?,angry,-0.25,0.25,0.0
Ses01M_impro02_F005,: They said you're home for at least four years.,angry,-0.75,0.0,0.75
Ses01M_impro02_F006,: [BREATHING],angry,-0.25,-0.25,-0.25
Ses01M_impro02_F007,: That's not fair.,angry,-0.5,0.25,0.5
Ses01M_impro02_F008,: [BREATHING],angry,-0.5,0.0,-0.25
Ses01M_impro02_F009,: I don't even know what to tell you.,sad,-0.25,-0.25,-0.25
Ses01M_impro02_F010,: What about the birthday party?,sad,-0.25,-0.25,0.0
Ses01M_impro02_F013,: You're going with the same ones?,sad,0.0,0.25,0.25
Ses01M_impro02_F015,: It's not the same though.,sad,-0.25,-0.5,-0.25
Ses01M_impro02_F017,: Mm hmm.  We'll build a bunker and never come out.,sad,0.5,0.25,0.0
Ses01M_impro02_F019,: Don't say that.,sad,0.0,0.0,0.0
Ses01M_impro02_M000,": Hey, Joy come in here.",neutral,0.0,-0.25,-0.25
Ses01M_impro02_M001,: I have to go back.,sad,-0.5,-0.5,0.25
Ses01M_impro02_M002,: I just got a letter I have to go back.,sad,-0.25,-0.25,-0.25
Ses01M_impro02_M003,: First thing tomorrow morning.,sad,-0.5,-0.25,0.0
Ses01M_impro02_M006,": I guess they can do it,",angry,-0.75,-0.5,-0.5
Ses01M_impro02_M007,": The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back.",sad,-0.5,0.0,0.0
Ses01M_impro02_M009,": So yeah, we leave tomorrow...",sad,-0.5,-0.25,0.25
Ses01M_impro02_M010,: ...we're all shipping out.,sad,-0.5,-0.5,-0.25
Ses01M_impro02_M011,: I just got I feel like I'm in shock actually.,sad,-0.25,-0.25,0.25
Ses01M_impro02_M012,: I don't know.,sad,0.0,-0.75,-0.75
Ses01M_impro02_M013,: I guess you're just going to have to have it without me.,sad,-0.75,0.0,0.25
Ses01M_impro02_M014,": Hey listen, it's going to be okay though, all right?",sad,-0.5,-0.5,0.25
Ses01M_impro02_M015,: You're going to be fine.,sad,-0.5,-0.5,-0.25
Ses01M_impro02_M016,": I'm going to be fine too, okay?",sad,-0.25,0.0,0.25
Ses01M_impro02_M017,: I know I have a good... I have a really good group of guys with me.,sad,0.0,-0.5,0.0
Ses01M_impro02_M018,: We're going to be okay.,sad,0.0,-0.5,0.25
Ses01M_impro02_M019,: Do promise me you're going to take a lot of pictures.,sad,0.0,-0.5,0.0
Ses01M_impro02_M020,: I know.,sad,0.25,-0.75,0.0
Ses01M_impro02_M021,: I just wish there was something I could do.,sad,-0.25,-0.25,-0.25
Ses01M_impro02_M022,: Run away?,sad,0.25,0.0,-0.25
Ses01M_impro02_M023,": I really don't want to go, I don't want to go...",sad,-0.75,-0.25,0.25
Ses01M_impro02_M025,: I love you.,sad,0.0,-0.25,0.25
Ses01M_impro07_F000,: Yeah.,neutral,0.5,-0.5,-0.25
Ses01M_impro07_F001,: [LAUGHTER]. For softball? That's unbelievable. Is it slow pitch?,happy,0.75,0.5,0.0
Ses01M_impro07_F003,: Pinch hitting softball.,happy,0.25,0.0,0.0
Ses01M_impro07_F004,: That is incredible.,happy,0.5,0.25,0.0
Ses01M_impro07_F005,: That's amazing. They pay for everything?,happy,0.75,0.5,0.0
Ses01M_impro07_F006,": Your housing, books, everything? That is incredible.",happy,0.25,0.25,0.0
Ses01M_impro07_F007,: That is incredible. Do you get like a per diem?,happy,0.25,-0.25,0.0
Ses01M_impro07_F008,: You should...You should look into that.,happy,0.5,-0.25,0.0
Ses01M_impro07_F009,": That is amazing, congratulations. Good for you.",happy,0.5,-0.25,0.25
Ses01M_impro07_F010,: Oh.,neutral,0.0,-0.5,-0.5
Ses01M_impro07_F011,": Yeah, that you probably. You should see one of these Victorian houses around by.",happy,0.0,-0.25,-0.25
Ses01M_impro07_F012,: Oh. Venice beach.,neutral,0.5,0.0,-0.25
Ses01M_impro07_F013,": Oh, you don't like that. You're west-sider?",happy,0.25,-0.25,-0.25
Ses01M_impro07_F014,": Okay. That would be way too much of a commute you can't do that. Especially- I know especially from--I don't know, what I was going to say, I don't know.",happy,0.5,0.0,0.0
Ses01M_impro07_F015,: I don't know. Commuting from what Malibu that would be ridiculous.,happy,0.5,-0.25,-0.25
Ses01M_impro07_F016,: Oh yeah. He'd drop you right off at practice?,happy,0.5,0.0,-0.25
Ses01M_impro07_F018,: They have those neon--softballs.  They're like day-glow you can see them anywhere.,happy,0.25,0.0,-0.25
Ses01M_impro07_F020,: Oh. That is incredible. Is it--,neutral,0.0,-0.25,-0.25
Ses01M_impro07_F021,": do they have a--is it a co-ed softball team?  I mean... Really? You know, I didn't even know that they have that.",happy,0.25,0.0,-0.25
Ses01M_impro07_F022,: Who do you play? Like do--are you like... nationally ranked?,happy,0.5,0.25,0.25
Ses01M_impro07_F023,: That is unbelievable.,happy,0.5,0.0,-0.25
Ses01M_impro07_F024,: I would put that right up there with--ping-pong.,happy,0.25,0.0,-0.25
Ses01M_impro07_F025,: I mean not to denigrate what you are doing.  I think that's great.,happy,0.5,0.25,-0.25
Ses01M_impro07_F026,": No, no.  I love softball. I played softball all the time.",happy,0.5,0.5,0.25
Ses01M_impro07_F027,: I am not saying you should be. I'm not no. I think it's great I think you should be incredibly proud yourself especially because you're going to U.S.C for free for doing it. For free.,happy,0.75,0.5,0.0
Ses01M_impro07_F033,: You're like the rookie? The new kid.,happy,0.0,0.0,0.0
Ses01M_impro07_F034,: Just watch in five years you'll be like on the force. You carry around donuts in your back pocket... [LAUGHTER],happy,0.5,0.25,0.25
Ses01M_impro07_M000,: Check this out.  You know how I've told you I've been really into like softball recently?,happy,0.5,0.5,0.0
Ses01M_impro07_M001,": Well, this is totally random, I got this full ride scholarship to go to U.S.C next year to play softball.",happy,0.5,0.0,0.0
Ses01M_impro07_M002,: For softball.  They're going to pay me to go to school. Isn't that awesome?,happy,1.0,0.25,0.5
Ses01M_impro07_M003,": Yeah.  Well, I don't--well yeah I can pitch, I'm not like the pitcher though. I'm like the pinch hitter guy I mostly just hit.  But I guess I'm going to have to... Yeah, and then I play shortstop too but... It's so ex- The good news is I get to stay here.",happy,0.5,0.5,0.0
Ses01M_impro07_M004,": I know. For softball, yeah.",happy,0.75,0.25,-0.25
Ses01M_impro07_M005,": Yeah, everything. Every like- free ride and I get to, you know, like be on like a Trojans sports team too. And it's like cool. Isn't it awesome?",happy,0.5,0.5,0.0
Ses01M_impro07_M006,": I don't know. I should ask. Yeah, I will.",happy,0.5,0.0,-0.5
Ses01M_impro07_M007,: Thank you.,happy,0.5,0.5,-0.25
Ses01M_impro07_M008,: But I don't know I want to live in the housing that they give me though 'cause I think I want to you know like get like a nicer place.,happy,0.5,0.0,-0.25
Ses01M_impro07_M009,: Where should I move?,happy,0.0,-0.25,-0.25
Ses01M_impro07_M010,": That's a really good idea. Or I could go to like Santa Monica. Go beach. Venice beach, yeah a little dirty though. I don't want to go to Venice beach. But - Malibu. All right.",happy,0.25,0.0,0.0
Ses01M_impro07_M011,: Professional softball player Malibu. [LAUGHTER],happy,0.5,0.0,-0.25
Ses01M_impro07_M013,": Oh yeah, that would be.  Well, depends on what type of car you had, though too. I guess it would be worth it. helicopter. Yeah, helicopter.  There is a helipad there, right? Yeah, exactly.",happy,0.25,-0.25,-0.25
Ses01M_impro07_M017,: They do it's--believe me it's huge.,happy,0.5,0.25,-0.25
Ses01M_impro07_M018,: I just got into it. I just kind of fell into it. Literally I was walking around and...,happy,0.25,0.25,0.0
Ses01M_impro07_M019,: It's pretty wild.,happy,0.25,-0.25,-0.25
Ses01M_impro07_M020,": Yeah, well I doubt [GARBAGE] ping pong [GARBAGE]",neutral,0.25,-0.25,-0.25
Ses01M_impro07_M024,: For free that's really what it's about. I mean who cares I mean if I have to play softball all the time?,happy,0.5,0.0,0.0
Ses01M_impro07_M026,: Yeah we have like away games and stuff.,neutral,-0.25,0.0,-0.25
Ses01M_impro07_M030,: But you know I'm like [GARBAGE].,neutral,0.0,-0.25,-0.75
Ses01M_impro07_M032,: I'm going to have a mustache...On the force...,happy,0.5,0.0,-0.25
Ses01M_impro07_M033,: Pull over..,happy,0.25,-0.25,-0.75
Ses01M_impro05_F000,: Can I help you?,neutral,0.0,0.0,0.0
Ses01M_impro05_F001,: I need a little more information.,neutral,0.0,-0.25,0.25
Ses01M_impro05_F002,: What- What flight did you come in on?,neutral,0.0,-0.25,0.25
Ses01M_impro05_F003,: Georgia?,neutral,0.0,0.25,-0.25
Ses01M_impro05_F004,": There's no need for you to raise your voice, sir.",neutral,0.0,0.0,0.25
Ses01M_impro05_F005,: I've been college educated.,neutral,-0.25,-0.25,0.0
Ses01M_impro05_F006,: I speak your language.,neutral,-0.25,-0.25,0.0
Ses01M_impro05_F007,: I'm just saying you don't need to talk to me like I-,neutral,-0.25,-0.5,0.0
Ses01M_impro05_F008,: I'm not a child.,angry,-0.5,-0.25,0.25
Ses01M_impro05_F011,": Details, Details.  Well, anyhow can I--",neutral,0.25,0.0,0.25
Ses01M_impro05_F012,: so you flew in from Atlanta...,neutral,0.0,0.25,0.25
Ses01M_impro05_F013,: Four...Four hours ago.,neutral,0.0,-0.25,0.25
Ses01M_impro05_F014,: Do you have any i-?,neutral,0.0,-0.25,0.0
Ses01M_impro05_F015,: I wouldn't let you?   I was not in Atlanta. I was not in Atlanta.,neutral,-0.25,0.25,0.5
Ses01M_impro05_F016,: I had nothing to do with the boarding attendance.  I'm sorry that your seat was wherever it was.,neutral,-0.25,0.0,0.5
Ses01M_impro05_F017,": I have some unfortunate news, uh, that your bag isn't going to be--",neutral,-0.25,0.0,0.0
Ses01M_impro05_F018,: --arriving any time soon.,neutral,0.0,0.0,0.25
Ses01M_impro05_F019,: I'm really sorry to tell you this but...,neutral,-0.5,0.5,0.5
Ses01M_impro05_F020,: It's not.  I can offer you fifty dollars and a reimbursement gift cards for our airline...,neutral,0.25,0.25,0.5
