utterance_id,valence,arousal,dominance,emotion,text,audio_features,audio_waveform
Ses05F_impro07_F021,0.75,0.0,0.25,happy,: It's going to be ridiculous.  It's going to be so cool.,"[1.559192129939971, 0.9246145997894573, 0.41782333049951914, -0.40663397334313595, 0.3843709738507353, 0.5416475899619296, -2.017390947166549, -0.29802950629461855, -2.946361484104148, -0.7068862510667174]","[-0.5543038425323562, -0.9807506939659151, 0.6790139502477791, 0.7266374128127245, -0.5599296342279808, -1.4429923414745236, 0.6072911785633778, 1.347437843539014, -1.3766345965227587, 1.354962198280182, 0.7434637238537011, -1.8779502235838925, -1.367179479669278, 0.044141472830851756, -0.11230930947128343, -0.538200973520841, -0.5041612908174579, 0.034750059006585975, -1.843786782802579, -0.026843770846247825, 1.7744455970166653, 0.7865470767767613, -0.13410314090479328, -1.5459278603704587, -0.15504875244701263, -2.438904295874881, 0.08449264777067472, -0.43051597230276567, -1.781885982536361, 0.055536094735125247, 0.3577246576000487, -0.8972929450012017, 0.03221600773524053, -1.4304014280933488, -1.8873103040929602, 0.2024761605384711, -0.5550338482404018, -0.6178264482572043, -0.2970871636733974, 0.7743123466023507, 0.154257371635159, 0.7056491549552951, 0.175766162028983, -0.4142366998518079, 0.548553806366216, 0.23641369564503045, -0.47689619151389806, -0.5398789018462369, -1.3303200037707716, 0.4000040954845501, -0.8743880484915252, -1.1786172646528381, 0.07312593712599001, -1.521875647916251, -0.5832855086601432, -0.39020814787373165, -0.3428726887379147, -0.9044054986689107, 0.6207208170357662, -0.06739958943102925, 0.43547795643071097, -1.3843811150880927, 1.6721813609470018, -0.9331051474964799, -0.19699439162178212, -0.5448796145037741, 2.255256050165619, 0.6995550007119994, 0.5268825355030379, 0.2963149017872059, -1.1165331423651064, -0.304968741155973, 0.3572721965027506, -2.339505263846342, 0.18107320510112873, 0.7232541959156242, 0.28290298245742623, 1.8505969002955494, 0.7960278547917746, 0.15379167472988775, -1.0200764105400604, -0.7143894541083271, 0.7314440149757696, -0.41129309526976204, -0.90236017205616, -0.3546982739271949, -2.4884908095181677, 0.16732479179657442, 1.3522830082122284, 1.0778656757809388, 0.40312591713021667, 0.560390189355958, 1.2670943274863988, 1.7948545650242158, -0.9890491258198426, 0.24421933446090235, 1.335502800027586, 0.7827454745818362, 1.077192275190699, -1.1983768477255754]"
Ses01M_impro02_M007,-0.5,0.0,0.0,sad,": The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back.","[0.10055796645804785, 0.8069514683020879, -0.03407899079426984, 0.34429008458756544, -0.11246957866754523, -0.6055830311384736, -0.2752536388341136, 0.7621653182011077, -1.2714901869079382, -0.2354422123760486]","[1.2157322538379218, -0.4205069954236706, -1.8232660260588551, -0.35920740080255115, 0.9828668002793118, -0.176454460386983, -0.036512604252374514, -0.6251872590140393, 0.26981363468428265, 1.0864411899517885, 0.6748020687585177, -0.8009026950198058, -0.13692488593062885, 0.1776940534357275, -2.7197661297706515, 0.04974986539448656, 0.5278446780916799, 0.0569905219819329, 0.34439160713223954, -2.1527672993764733, -1.4178355397770328, 0.2992527448159439, -1.4543465250431422, -0.17769238563272374, 0.8953629868032263, 1.6664007461618655, 0.41015964656042747, 0.476852879377421, 0.3053382370009256, -0.09399081633762692, -1.7509375371636027, 2.4828387122395865, -0.00010250053954212853, 0.6260941417119031, 0.8552303104527132, 0.05892265510868129, -1.0556332787154366, 0.5052776134709073, -0.5028698774610267, 1.717129638402927, -0.1861618033052158, 0.5046934917951187, -1.7574002583863222, -0.010514482526151779, -1.109604930115624, -0.3956421294294154, 0.29655433285185046, 1.053361032339501, -2.4401589491743922, -2.128163902819676, -0.42293888799815976, 0.37952160952173103, -0.4253845788288118, -2.312140807130683, -1.3015508002092806, -2.4422858600741155, 1.3828725508841662, 0.3030678305052244, 0.21751741843762043, 0.11139549048684441, 0.34179128152803917, -1.174716856895064, -0.9599512340530778, -1.0656757952885214, 1.1188051139984183, 0.8550098038698537, 0.3023878060610178, 0.20096983297664459, 0.08238057236500451, -1.7174756181645692, -0.7320321341844749, -0.8904820107745389, 0.4100705607945467, -0.5319011297444283, 0.7190338329099136, -1.5442643880694604, 2.5238482517865637, 0.7287031569014902, -0.014127052275710691, -0.22404330234105438, 0.141122396481942, -0.6050826141463036, -0.47060342044170117, -0.5141703435662069, -0.47462755502277026, -2.0022264266474994, 0.14738601295415266, 0.21383777473986645, 0.9288525609789651, -0.2373264174717296, 1.5569375023414598, -0.17030936667851143, -1.0769236805426938, -0.20836312347749306, 0.016523197749350203, 0.8075756661047955, 1.128817611008698, -0.7256493912823135, -1.0989349677695277, -0.7343269398975989]"
Ses05F_impro02_F032,-1.0,0.0,-0.5,sad,: You'll have to send me pictures and letters everyday.,"[-0.3779199636984582, -0.3470752149657065, 0.783544888951178, 0.05619896206205578, -0.07815741707975113, 0.5956749010240162, -2.439809099819709, -1.2412964777138769, -0.9916406371644912, -1.4170706690969836]","[0.26341810727213455, 0.7707334015700706, -0.06842772223959522, -1.4757494813433556, 0.7213630619401878, -1.628788334441811, 0.33434167843602963, 1.0369186901251686, -1.3964742722177002, 1.3566948445994196, 0.2902591341343324, -0.8284765970850323, 0.3976867208551154, 0.937860284812438, -0.9495592404820555, -0.7865036245342332, 0.028373408236726953, 0.47763302472890834, 1.3224452515248495, -0.7104124171889534, -0.17766341773107158, -1.2756588774325703, -0.8111363976663031, -1.6693861544070925, -1.3360815376261117, -0.8199150254752834, -0.9313917475744111, 0.8519397549596927, 0.06272705288296228, -0.005438572339830404, 1.130741963827045, -0.3587980679107883, -1.055068333926816, 1.232638571304468, 1.644956654602827, -0.652177415240282, 0.16575373834706889, 0.34467440843597363, -1.1091523982927323, -1.187208613965763, -0.21082640352660698, -0.7140380066691208, -0.3643876178585077, 0.9459375025401249, 1.1472042674046479, 0.7327253329525899, 0.5425987932399492, -0.8347630308193653, -0.3470739716906281, -0.07231986834227483, -0.42178900470103403, -0.9531337731845974, 0.6455779895779098, 1.9026255162824264, 0.1938149871372985, -0.5208111591665269, -1.2187342778581451, -0.3314428491030525, 0.3061550726740097, 0.4951028271721411, 0.24075228255984651, 0.16734075783024172, 1.5103160763132453, 0.23442016895196932, 0.32519210277281874, 0.09220080185898688, 1.4753310832494513, 0.6212852828534912, 0.7850328104431021, 0.5630139379824268, 0.8765933685606373, -0.6692637919823924, 0.9481551045193112, 0.22334880723601455, -0.9948566842321909, -0.6731405470137172, -0.17036137034908408, 0.5162597761021716, 1.403854805486902, -0.4875219320123697, 0.29578366891010893, 1.33434618046101, -1.8778841388001701, -0.9294662903173347, -0.4748344200369133, 1.878438893973115, 0.8106387622336324, -1.2202099407570306, 0.139439113668636, 0.21455726394987798, 1.3861375452588065, -1.4228225554902585, 0.48639788979347304, -0.4932490140711716, 0.4251308494489883, 0.849544567647291, 0.4709478827319323, -0.12377742153599751, 2.3710878019776014, 0.08401286810279833]"
Ses05M_impro04_M035,-0.25,0.0,0.25,angry,: You and me both.,"[0.5896341732344959, 0.07223099268414167, 0.5831563179010648, 0.7685503613746673, 0.8090752218384688, -0.9352265840860016, -1.1552236317218803, -0.37777240704754006, 0.797721026217603, 0.33174670458976935]","[-0.06551394892395723, 0.030800173723942868, 0.5294934076222376, -0.1936705420504952, 0.8227790763906104, 0.9437129984333863, 1.0430418839425573, -0.1948089766893845, -1.3792840787087197, 1.563243410164361, 0.09925043233331877, 0.29825567597074604, 1.8718583282627064, -0.6128001498680653, -0.40355926037048123, -0.3433487257672885, -0.6955645052008319, 0.16219575949490675, 0.963747877315489, -0.7422009105691283, -0.8230742444590363, 1.7554221680557536, -0.08946295166913963, 1.1757299583312095, 0.0017806478737232758, 0.16747179295741452, -1.7337746033471597, 0.5163243846158531, 0.7826569444374744, -1.7114069015487303, 0.3787842157225214, -0.034985676041061224, 0.2106125110404651, 1.1498519686624733, -1.2483225257492059, -0.5743667822728821, -0.008504220395937167, -0.8269134296418957, 0.054051854756415794, 0.7329632744430796, -0.1536360135725511, 1.3203600560688948, -0.8653745558050344, 0.1264013529862587, 0.6654735596861235, -2.2226979132778832, 0.7819248573322914, 0.6923292864255179, -0.5062551036944146, -0.1648931596028876, 0.4704750721094312, -1.8506529375463676, 0.07572663151572206, -0.8215340649818629, -0.053168768173473185, 1.1694651367377271, 0.3708508770788135, -0.8562390499254148, -0.8232304349935481, 1.5613736109841752, 0.6260253041669673, -0.47422528420944077, 0.43628151270545207, 0.6488184163770244, 0.766560402814659, 1.2874047336266683, -0.3118299736168106, 1.335075503441187, 1.2966512405040684, 1.0604717209966836, 0.49265875166820505, 0.5604046500509582, 0.03188418736500189, 0.26093278381270485, -0.486812567523058, -0.19402456795681874, -0.46227682018804245, 0.6629328928736141, 0.08999928092319069, 0.6034686963660134, 0.6462864190522241, 0.6060091833907149, 1.762283088611241, -0.34208635911070084, 2.6075223797608857, -0.8215808219378734, 0.6386754655931344, 1.9152874883898654, -1.5424019252516692, -0.21909365657545468, 0.9509180985827816, 0.846952571665357, -0.4031620662745374, -0.0229002032707473, 1.1247134462400494, -0.844877369599067, 0.2724652800225753, 0.25889977226793903, 0.7570981326909462, 1.0245886520586935]"
Ses01F_impro05_F018,-0.75,0.5,0.5,angry,: Do you understand who my husband is?,"[-0.04106820605396413, -0.3225909552409216, 0.7459769055385207, 0.29821486438284056, -0.778979717026201, 0.003183058760474218, 0.06599200579355807, 0.8167089335588569, -0.472215649736484, 0.5388567541788953]","[1.53988785374008, -2.1739881235029355, 1.2802963329363, 0.8653095290143952, 0.07227946895239147, -0.09654973630000767, 0.35054530200385026, 1.2259002047538938, -0.6291774129416798, 1.4699236611433797, 1.9970902416218743, 1.2037371865830537, -2.246075848112728, 0.06836534520232185, -0.4843421702921517, 0.5224828412523436, -1.9534641678604152, 1.0319615413368777, 0.5460744455669523, 0.7776571519668131, -0.0817859032739011, 0.7633649812174156, -1.8380691174700365, 0.9656405763152869, 0.48057598635814885, -0.24408530304973125, 0.15858824587569242, 0.12306279144404922, -0.544227204032708, 0.8511067973007562, 1.1069338468762215, -2.3368569537489003, 0.6818988674158646, 0.04776543111039415, -0.5676337591065269, 0.39055789355528714, -0.5428225017496392, -0.3352907220640695, 0.8803976094328837, -0.7010149804275487, 1.8214072805936294, -3.032117222808934, 1.060561790739291, -0.641313084220908, -0.7398486315012577, -1.3073123743803174, 0.7808313931551205, 1.3145952268679444, 1.0002933937189957, 0.6107820317408325, -0.11711947478124957, -1.4001694288570172, -0.5549559707636034, 1.1539176144228924, -1.11046628673959, 1.038385869447493, -0.8918110427055436, -0.5360021144355664, -0.9966338615861008, -1.1562369281767413, -1.7689219893857708, 0.3378656885067763, -0.8399030221871077, -0.8200360918972144, 1.2083858326726717, 1.0646056800296728, 0.7832822255302635, -0.2594665053440634, 0.299998242312091, 0.14013440129785681, -0.5251737967363733, -0.6833252158247374, 0.6984386465504582, 0.5688689277216676, -1.0471257806006606, 1.9206299493365375, 1.4332025370493755, 0.7701618974013859, -1.0666118227954124, -0.6590737130077897, -0.2170675455401611, 0.8230214116615663, 1.0999125857778507, -1.0344247095912253, -0.3118296056405003, 0.038508700142619014, -0.4077276195992283, -0.14224696375524765, -0.14619453985161898, -0.47952141249493435, -2.0335136592725944, 0.5895485714158432, -0.9829487820854595, -0.5897567700825899, -2.7848451205978937, -0.9301721391939871, 1.0945928120382695, 0.18339368783157398, -0.04921429738607991, 0.15898805112636197]"
Ses04F_impro04_F030,-0.75,0.75,1.0,angry,: What's my problem?  What's my problem? I don't have a job.,"[-1.7691466514541299, 0.3203375432765073, 0.6222566281404485, 0.18217687571393146, 0.5288237548507005, 1.9653351265000696, -0.9117124777560948, -0.5220253682020655, 0.10231303387973695, 0.20405142024584405]","[-2.1337048092118183, 0.7018665968826209, -0.43132153754769814, 0.12625681477862113, 1.2052690558434476, -0.9925006008514348, -1.310348780344162, 1.3861288581506044, 1.9729618402615825, 0.494916744389552, -1.0141426492871863, -0.8125190341055015, -0.7729442152232834, 1.4288129874588968, 0.7000512635802385, 0.0273290539516299, 0.08367534993443593, 0.7658230813693084, -0.8210179745186068, 0.3907715820820056, 0.595147122945066, 0.5805369121516463, -0.294762948204938, -1.0771132724021224, 0.8341651067957424, -0.9178151351992858, 0.6444711693262866, -2.112647916940529, 0.005535739794854531, 2.103887163886248, -1.0595417197528736, 1.9861662092355707, 0.7807929329894461, 1.1874725455014363, 0.5491613127415307, -0.3116205351137056, -0.8788842341167911, 0.8667265616750505, 0.07692917577364576, 0.5410705595468314, -1.5337132442051578, -1.940159359151928, 0.20298019737874318, 1.406464725249021, 1.5981254313988975, -0.37229282918919, 1.590793557888509, 0.028146741867781936, 0.440413404841434, 0.18774612647666686, -0.6888214717501726, 0.2767136085921528, 0.3459244727856419, -0.23858154717999883, -0.1349615572080775, -2.205879958794436, 0.9418287332195059, -0.11169063230567941, -1.1304409219448295, -0.13036239268382985, 1.043918199036508, -0.6688178000550452, 1.0503269051783815, -0.2718252348005294, -0.7886871642568449, -0.5424403358587587, -0.4499086261757951, -0.9573795216511339, -1.4273926063297293, -2.2467449940589135, 0.8940351851361575, -0.5582489451307646, -0.8898413205499431, 0.410069749044818, 0.6462450701403819, -1.020462836292765, -0.5743167144943201, -0.17799914639303116, 1.170029411699661, 0.04524791497697464, -0.32581143987466976, -1.9540079725868442, -0.06378779674877545, -1.803991036510793, -1.3756727123501802, -0.687505408439855, -0.047941868558830016, 0.17119908731445602, -0.11420079184492286, -1.5111331407633266, -0.11674000575671968, 1.363910216442442, 0.3334687361926414, 0.1858163766561809, 1.2693026006076231, 0.0785783602312877, -1.319888742756562, -1.1859642057623947, 0.8329601519568872, 0.9093000556661736]"
Ses05M_impro04_F026,-0.25,0.0,0.25,neutral,": Sorry.  So, let's see.  What else?  What's available? What? Um.  Hmm.","[0.4192911897060987, 0.11218111849672309, 2.2065778824691895, 0.2651456809915405, 0.5390104978023027, 1.0530401595374492, -0.5083050029323581, 1.8380029194400804, -0.5139963775210646, -0.8248291071710543]","[0.30855361663847936, 2.131738483917692, -0.8660353680479335, 0.9076302989739699, 0.8939889159952876, -1.4019657378544916, 0.3278527589540992, -0.5189551285948433, -1.9338602283443096, 1.7943586215790768, -1.5459396591372592, 0.2691061428204605, 0.3286200340786412, -0.14502302100548806, -0.1364300754930242, 1.1777704109051057, -0.24501803587336146, 0.46384605161351805, 0.14796879676984384, -0.07220467922123613, -0.89640044844254, 1.7913791088868118, -0.9525279496709973, 0.39426207684205533, -1.499287874989304, -0.24522965147122505, -0.5497819926413553, 0.18386184099924627, 0.5614688609241201, 0.07166543002557976, -2.0888264962542626, 0.37023985562632256, -2.552308349460405, 1.7125682623729845, -0.9522091719428756, 0.674494201084828, -0.04312969871124187, -1.8848313378553385, 1.7837888079905637, 1.2780123263277718, -0.04721650803401159, -0.11847613630751602, -0.672738556571334, -0.7348937346682418, -0.7186250030921119, 1.0696792986668653, 0.18344882814741767, 0.32052378357223704, -0.48411423153694944, -0.3758264011073112, -0.4454271837758078, -0.2689419928509721, 0.7751593582640147, 0.17424303012843864, -0.5660680370835034, 0.7883400029343022, 0.008239952522432061, 0.7857717952438614, -0.27340473034933155, 0.2668117650874603, 2.9903943147532415, 1.996972882513625, 0.6991643946727535, 0.1904872207381545, 0.08698706484867212, 1.716028163926441, 1.559455391892868, -0.015269848383525709, -1.0160185202420418, -1.5828211323564587, -1.2062700301414744, 0.36869624047061617, 0.3945068142990011, 1.6408204247663354, 1.3585303665849806, 0.21358584424336913, -0.846206712569246, -0.2548076154305951, 1.1368121876251842, -0.09435646822814997, -0.935963397368356, -0.7578178169595817, -0.7141771906029307, 1.2775335634890097, 0.2375406976454438, -0.6756079019122242, -0.892314051011567, -0.6644676184294026, -1.0052759268778417, 0.9973224497887323, 1.8927171955814441, 0.7955418477250852, -1.7981761985973388, -0.3231911850301089, 1.0328154399242289, 0.7968010720069902, -0.4431839293231386, -0.0788107204836979, -0.06216286221578764, -0.12741965948316225]"
Ses05F_impro03_F054,0.5,-0.5,-0.25,happy,: yeah.,"[-0.7966304301782035, 0.5870686352132974, 0.022439928924271223, -0.2010384550841047, 1.2785120542711665, -0.0034029703253894393, 0.27092378694798414, 2.82579345313708, 1.0001737836235565, 0.6768497387226663]","[0.34229419949283313, 0.6654087864669165, 0.17518540646891362, 0.503128939243592, -1.5377967003077662, 1.0323094095384238, 0.4405689848609253, 0.42062833520472753, 0.024445522989887437, -0.30857987792830194, 1.3194944991192643, 0.4349727113979348, -1.0399765583243294, 0.9342697692765468, 1.5104146772989642, -0.7798143678259827, -0.02909949582489201, -0.7042814207128816, 1.375889241818125, 1.34925167913845, 0.3979887889889745, 0.4494909477992014, 0.3144743531721342, -1.3420202491718352, 1.355826961868341, 1.269575779162073, -0.39088602502837894, -0.9967332979847696, -0.9868430298253306, -0.4747982496814472, -0.4947680725691389, 0.013788780798040759, 1.016605398091442, 1.051856733244821, -0.9286261995165866, 1.3916678795040578, 1.3672566440349532, 1.420529644875722, -0.6437205380943387, 2.6179894017491687, 1.3098490437930608, 1.9370913939432772, 1.0473554121539295, 0.24475000452168752, -1.4114280797083372, 0.5495286910613695, 1.2325665614675938, 0.3915328583106021, 0.7746781549069326, -0.742037387683296, 1.0867955283864403, -0.48171943613228235, 1.2517051345940697, -1.4389869505296176, 0.7001811529626273, 0.48079834811714506, -0.934135520962779, -0.3606910258696081, 0.2134794759184805, 0.4277347277259699, -0.11549915837241681, -0.42505629886477714, -1.162153438561474, -0.6323821236535605, -0.6804837500221418, 1.2669214773680928, 0.432154383595767, 0.18646028417082344, -2.5600405509049353, 0.13778948068822994, -0.7178703689329049, 0.7542532164722068, -1.45426068339868, 0.7101639493458163, 0.990451858215096, -2.156708129120002, -0.9580418379086905, -0.6423414886801012, 0.40311857219808656, -1.4528179781723929, 0.36911672239004173, -0.45697422275647376, 0.20548898477897765, -0.5523021678925923, -0.1274350060342456, 1.112973671000092, -0.5554082556272986, -3.184674967092221, -0.6018160424054296, -0.24965979706173466, -0.7637168145747734, 0.43334469676100257, 0.40980682474276875, -1.1851318743050592, -0.20826872571975757, -1.1212487757952905, 0.7355558129516929, -0.2536385771490739, 0.4518882901594596, 0.1595113105791173]"
Ses05M_impro04_F020,-0.25,-0.5,0.0,neutral,": Yeah, it's stressful.  I recognize that.","[-0.21140094910908933, 2.5333205771640626, 0.03893660215999534, 1.2902261329477522, 1.0805183338176045, -1.0485012627141626, -1.301866279172763, -2.484894846206144, 1.0166537429598117, 0.25918523148710176]","[2.7165935909664385, -1.2505077266385682, -0.09642070905465717, 0.18196912883759997, -1.1148488007752544, 0.20094292544572231, 0.08318011749211462, 0.4838163903796992, 1.856059396841067, 1.2888335830220952, 0.6679811402091045, 0.29873342897922633, 1.0231732423620785, 0.9160581321165714, 1.114252248391862, -0.49481391212156406, -0.37232227649052235, 0.5855187612427432, -1.6742885942516148, 0.41684072787579846, 1.0271533745092047, 0.26980469315130706, 0.14398982310607458, 0.15458698809008103, 0.09145628545339714, 1.232230762434199, 2.8217544643187584, 1.1950326339826327, -0.18097439730131806, -1.887942461629548, -0.7249055135419156, -1.4375406512344289, -0.6381940791234122, -1.278777645629376, 1.192347425824449, 0.34265843988322925, -0.12306952266328602, -0.9259177499890534, 0.44141408360310014, 1.2047812241083644, 0.3286232067830166, 0.10178529624613117, 0.6611978708025011, -0.8397030019886746, 0.02489121305462772, -0.5345247977989619, 0.6881624364163699, -0.18902949977039693, -0.2620804106613824, -0.5803493666344564, 0.868331929440971, -0.8294699597543532, -1.6935235410017422, 0.3993222214826741, -0.16352231226306901, -0.19262402869374332, 0.5173720850552008, -0.4672786952428095, -1.0624873649664546, -0.07009910213113589, 1.7311016212721242, 1.3765215133843254, 0.8612914331426228, 1.0915994961075475, -0.6287594395063109, 1.5351600291578356, -1.8195268208995827, -0.8426807532410481, 1.6770731613164913, -1.6103239644530485, -1.4496757903591013, 2.0896950848301477, 0.4234362092611271, -0.138677344821132, -0.7304707620570257, 1.1897507997057077, -0.17639151605433087, -0.02356029752448984, 1.3215457461147517, 0.4318214766951363, -0.9971533270135771, -0.42332844985674284, -0.4322348872651257, 1.5927592046111443, -1.0566595702473864, 0.5120012245186055, 0.3218156198998399, -0.09223027580322891, -1.6196022090499107, -1.2593880116417298, -0.4798154569297791, -0.4673448377878867, 2.8358189693136735, 0.22574385585964307, 0.3659220910762401, 2.0081765974533052, -1.5352468902291558, 1.4517562949120852, 0.9740951169903613, 1.9562316711950805]"
Ses05M_impro01_F012,-0.25,0.0,0.0,neutral,: Yeah.  I know it's gonna take a minute.  But you-- so you might as well get started now.,"[-0.5492877642780378, -0.7330013836968122, -0.8259773758256713, 0.5653510002429016, -1.12430163110346, -0.06737514042404816, -0.05751879971044564, 1.5725625872686333, 0.1947330355610184, -0.09873282799403323]","[-0.04681086023911128, 0.5213252482475647, -2.6864796663081623, -0.3536442480208291, -0.2957586106010243, 1.0727258332423772, -0.9959742454898207, 1.1440672815520256, 2.3348948192789782, 0.7809345786087378, -0.7281737441269738, -0.05308359928805601, 0.7539079568347048, 0.045005753709279804, 1.0839726501418836, 0.4480882277712229, 0.8401191648457179, 0.6386968961649269, 0.012585255853790863, -1.2954596760952057, -2.0500291919770017, 0.6403262807961919, -0.07089664219626932, -0.49249129688043325, 1.39919180898363, 1.7585004261059198, 0.3678196845678566, -0.8972718734404979, 1.3316747259133457, -0.23744195137961788, 0.04494720090639251, -1.697205757738559, -1.0545996340200596, 0.30780903675937676, 0.41910309176129235, 2.0849001517590806, -1.4985923814281765, 0.5052293827488921, -1.7939276014974908, -0.5389881544717385, 0.5491969622363148, 0.34100940615480113, 0.3664878400027063, -1.0374345425810405, -1.4167905834005414, -0.37161101211353736, -1.1263387516094945, 0.5573570218594472, -0.7905904875791113, 1.0139056770022505, 0.5608406442241131, -0.02665363946747358, -1.3416522278944103, -0.8783202742639189, -0.5342452587451869, 0.49270657541443, -0.2599543893861223, -0.28794755422201407, 1.9283423310663148, -0.9510366170906644, 0.9226041291123508, -0.8330746218863399, -0.2142347250807718, -0.15593106762959827, -1.2483112692276088, 0.21057136535966336, 1.4807187871873848, 0.9767122547181721, 1.0266663941912202, -0.0920195470161238, 0.7526914916712261, -0.29113670559393034, 2.4383592274503125, -0.8063692518110154, -1.6797524429262545, -1.310202216856028, -0.41350218032494374, -0.7032136978560289, -0.4792171149924464, -0.7206468351143482, 0.16156019136415362, -0.14887167108161767, -0.25286805881930335, -0.6096006231891802, 1.159281859465218, -1.6977559286081518, 0.3699978623607665, -0.6682604616298685, -1.034469984962412, 1.4144844168746786, 0.8139285930600173, 0.33939631003638066, 0.7648110781643701, 0.7071414299903913, -1.8840261291409008, 1.1704480194726368, -0.24479245165639985, -1.4938656045594918, -0.16952438484115948, 0.08943275374437462]"
