Case,VAD Values,Rule-Based,ML-Based,ML Probabilities,Match
1,"[0.8, 0.7, 0.6]",happy,ERROR,N/A,✗
2,"[-0.8, -0.5, -0.6]",sad,ERROR,N/A,✗
3,"[-0.6, 0.8, 0.7]",angry,ERROR,N/A,✗
4,"[0.0, 0.0, 0.0]",sad,ERROR,N/A,✗
5,"[0.1, 0.1, 0.1]",happy,ERROR,N/A,✗
6,"[-0.1, -0.1, -0.1]",sad,ERROR,N/A,✗
7,"[0.9, -0.9, 0.9]",content,ERROR,N/A,✗
8,"[-0.9, 0.9, -0.9]",fearful,ERROR,N/A,✗
9,"[1.0, 1.0, 1.0]",happy,ERROR,N/A,✗
10,"[-1.0, -1.0, -1.0]",sad,ERROR,N/A,✗
11,"[1.0, -1.0, -1.0]",relaxed,ERROR,N/A,✗
12,"[-1.0, 1.0, 1.0]",angry,ERROR,N/A,✗
